id,sector,trend,original_id
agr1,Agriculture,Agribusiness,427
agr2,Agriculture,Agricultural Commodities,428
agr3,Agriculture,Agricultural Processing,429
agr4,Agriculture,Agriculture Technology,430
agr5,Agriculture,Biotechnology in Agriculture,431
agr6,Agriculture,Crop Protection,432
agr7,Agriculture,Farm Equipment IoT,433
agr8,Agriculture,Organic Farming,434
agr9,Agriculture,Precision Agriculture,435
agr10,Agriculture,Sustainable Agriculture,436
aut1,Automotive,Automotive Parts,359
aut2,Automotive,Automotive Technology,360
aut3,Automotive,Autonomous Driving,361
aut4,Automotive,Autonomous Vehicles,362
aut5,Automotive,Commercial EVs,365
aut6,Automotive,Connected Vehicles,367
aut7,Automotive,Electric Vehicles,372
aut8,Automotive,Vehicle Software,396
aut1,Automotive,Automobile Manufacturers,460
aut2,Automotive,Automotive Displays,461
aut3,Automotive,Automotive Electronics,462
aut4,Automotive,Automotive Semiconductors,463
aut5,Automotive,Automotive Sensors,464
aut6,Automotive,Automotive Steel Products,465
aut7,Automotive,Automotive Telematics,466
con1,Consumer and Retail,Advertising,271
con2,Consumer and Retail,Beverage Innovation,272
con3,Consumer and Retail,Brick-and-mortar Presence,273
con4,Consumer and Retail,Clothing And Accessories,274
con5,Consumer and Retail,Consumer Behavior,275
con6,Consumer and Retail,Consumer Brands,276
con7,Consumer and Retail,Consumer Electronics,277
con8,Consumer and Retail,Consumer Packaging,278
con9,Consumer and Retail,Consumer Products,279
con10,Consumer and Retail,Consumer Staples,280
con11,Consumer and Retail,Consumer-to-consumer,281
con12,Consumer and Retail,Convenience Stores,282
con13,Consumer and Retail,Discount Retail,283
con14,Consumer and Retail,E-Commerce,284
con15,Consumer and Retail,Fast Food Leader,285
con16,Consumer and Retail,Food And Beverage,286
con17,Consumer and Retail,Food Delivery,287
con18,Consumer and Retail,Food Ingredients,288
con19,Consumer and Retail,Footwear Innovation,289
con20,Consumer and Retail,Franchise Model,290
con21,Consumer and Retail,Grocery Retail,291
con22,Consumer and Retail,Health-conscious Branding,292
con23,Consumer and Retail,Home Furnishings,293
con24,Consumer and Retail,Home Improvement,294
con25,Consumer and Retail,Household Products,295
con26,Consumer and Retail,Leisure Products,296
con27,Consumer and Retail,Loyalty Programs,297
con28,Consumer and Retail,Luxury Branding,298
con29,Consumer and Retail,Omnichannel Strategy,299
con30,Consumer and Retail,Online Marketplace,300
con31,Consumer and Retail,Online Shopping,301
con32,Consumer and Retail,Organic Products,302
con33,Consumer and Retail,Packaged Foods,303
con34,Consumer and Retail,Plant-based Alternatives,304
con35,Consumer and Retail,Plant-based Products,305
