symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,navigable,evidenceSources,theme_id
LIN,industrial,industrial_diversification,IE000S9YS762,LINDE PLC,1,"Opera en un amplio espectro de sectores industriales, proporcionando una diversa gama de productos y servicios esenciales para diversas industrias a nivel mundial.","Linde demuestra diversificación industrial a través de iniciativas estratégicas, incluyendo la expansión a nuevos mercados como la electrónica, la energía limpia y los lanzamientos espaciales, respaldada por importantes inversiones en regiones como Texas y Florida. El enfoque de la empresa también implica carteras de proyectos disciplinadas e inversiones incrementales de CapEx base, complementadas por adquisiciones complementarias, principalmente en gases envasados, que contribuyen a mejoras en los resultados. Además, Linde está explorando oportunidades en Europa y aprovechando su presencia en mercados finales resilientes como la atención médica, la electrónica y los alimentos y bebidas, junto con una fuerte presencia en mercados de alto crecimiento como la India, para impulsar el crecimiento.",617155599,USD,SMART,STK,True,,IN2
8058,industrial,industrial_diversification,JP3898400001,MITSUBISHI CORP,2,"Opera en una amplia gama de sectores industriales, incluyendo gas natural, materiales industriales, petróleo y productos químicos, recursos minerales, automoción y movilidad, industria alimentaria, soluciones de energía y desarrollo urbano, mostrando un modelo de negocio integral y diversificado.",,13905888,JPY,SMART,STK,False,,IN2
SIE,industrial,industrial_diversification,DE0007236101,SIEMENS AG-REG,3,"Ofrece una cartera integral de industrias digitales, infraestructura inteligente y soluciones de movilidad, contribuyendo significativamente a una amplia gama de sectores industriales a nivel mundial.",,14217,EUR,SMART,STK,False,,IN2
CAT,industrial,industrial_diversification,US1491231015,CATERPILLAR INC,4,"Implica una amplia cartera de maquinaria, motores y servicios financieros, que atienden a diversos sectores como la construcción, la minería, la energía y el transporte a nivel mundial.",,5437,USD,SMART,STK,True,,IN2
DE,industrial,industrial_diversification,US2441991054,DEERE & CO,5,"Contribuye al sector industrial ofreciendo una amplia gama de equipos y soluciones en diversos segmentos, como agricultura, construcción y silvicultura.",,6393,USD,SMART,STK,True,,IN2
PH,industrial,industrial_diversification,US7010941042,PARKER HANNIFIN CORP,6,"Opera en una amplia gama de mercados industriales, ofreciendo una cartera diversificada de productos y soluciones.","La empresa demuestra su estrategia de diversificación industrial a través de su intención de centrarse en oportunidades de negocio en diversos sectores, incluidos la aeroespacial y la defensa, equipos industriales y en planta, transporte, fuera de carretera, energía y climatización y refrigeración. Este enfoque está respaldado aún más por la búsqueda activa de expansión de la empresa a través de adquisiciones estratégicas destinadas a mejorar el crecimiento, la resiliencia, los márgenes, el flujo de caja y las ganancias por acción. La empresa también planea organizarse en torno a regiones, tecnologías y mercados específicos.",11094,USD,SMART,STK,True,"[{'name': 'ph-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ph-Q125-10-Q.html'}, {'name': 'ph-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ph-Q225-10-Q.html'}]",IN2
EMR,industrial,industrial_diversification,US2910111044,EMERSON ELECTRIC CO,7,"Mantiene una cartera diversificada de productos y servicios industriales, incluidas soluciones de automatización, sistemas comerciales y residenciales, al servicio de un amplio espectro de industrias globales.",,6842,USD,SMART,STK,True,,IN2
6501,industrial,industrial_diversification,JP3788600009,HITACHI LTD,8,"Participa en un amplio espectro de actividades industriales, proporcionando diversos productos, soluciones y servicios en múltiples sectores, incluyendo TI, energía, industria, movilidad y vida inteligente.",,13905665,JPY,SMART,STK,False,,IN2
005930,industrial,industrial_diversification,KR7005930003,SAMSUNG ELECTRONICS CO LTD,9,"Opera en una amplia gama de sectores industriales, incluyendo electrónica de consumo, semiconductores, comunicaciones móviles y electrodomésticos, demostrando una amplia diversificación industrial.",,17382528,KRW,KSE,STK,False,,IN2
GE,industrial,industrial_diversification,US3696043013,GENERAL ELECTRIC,10,"Opera en una amplia gama de sectores industriales, contribuyendo significativamente a la diversificación del panorama industrial.",,498843743,USD,SMART,STK,True,,IN2
HON,industrial,industrial_diversification,US4385161066,HONEYWELL INTERNATIONAL INC,11,"Opera como una empresa de tecnología y fabricación altamente diversificada, proporcionando una amplia gama de soluciones y productos industriales en múltiples sectores globales, encarnando y contribuyendo así a la diversificación industrial.",,4350,USD,SMART,STK,True,,IN2
MMM,industrial,industrial_diversification,US88579Y1010,3M CO,12,"Opera a través de una vasta cartera de negocios, proporcionando diversos productos y soluciones a una amplia gama de mercados industriales y comerciales.",,9720,USD,SMART,STK,True,,IN2
FLEX,industrial,industrial_diversification,SG9999000020,FLEX LTD,13,"Apoya una amplia gama de sectores industriales al proporcionar soluciones diversificadas de fabricación, cadena de suministro y diseño.","Flex demuestra diversificación industrial a través de varias iniciativas estratégicas. La empresa se asocia con clientes de diversas industrias, incluidas la nube, las comunicaciones, las empresas, la automoción, la atención médica y la energía, y está expandiendo su cartera hacia productos propios y servicios de valor agregado, lo que se refleja en su enfoque de EMS + Productos + Servicios. Esto está respaldado además por las agresivas decisiones de gestión de cartera de Flex para avanzar hacia negocios de mayor valor, inversiones estratégicas en nuevas ubicaciones y adquisiciones, junto con su estrategia diversificada de mercados finales que mejora la resiliencia a través de los ciclos del mercado. Flex también afirma que tiene la capacidad de reorganizar y reequilibrar su cartera de negocios.",4596077,USD,SMART,STK,True,"[{'name': 'flex-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/flex-Q225-10-Q.html'}, {'name': 'flex-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/flex-FY25-10-K.html'}]",IN2
UPS,industrial,industrial_diversification,US9113121068,UNITED PARCEL SERVICE-CL B,14,"Proporciona soluciones esenciales de logística y cadena de suministro que apoyan a una amplia gama de sectores industriales, facilitando el movimiento de mercancías y permitiendo la eficiencia operativa en diversas industrias.",,6231002,USD,SMART,STK,True,,IN2
DHR,industrial,industrial_diversification,US2358511028,DANAHER CORP,15,"Opera una cartera diversificada de negocios que proporcionan productos y servicios críticos en varios sectores industriales, contribuyendo significativamente a la diversificación industrial.",,6442,USD,SMART,STK,True,,IN2
CMI,industrial,industrial_diversification,US2310211063,CUMMINS INC,16,"Se dedica al diseño, fabricación y distribución de una amplia cartera de soluciones y componentes de energía, sirviendo a diversos sectores industriales a nivel mundial.",,6207,USD,SMART,STK,True,,IN2
JBL,industrial,industrial_diversification,US4663131039,JABIL INC,17,"Soporta una amplia gama de sectores industriales a través de sus soluciones de fabricación, permitiendo una amplia penetración en el mercado y una menor dependencia de una sola industria.",,4457282,USD,SMART,STK,True,,IN2
ABBN,industrial,industrial_diversification,CH0012221716,ABB LTD-REG,18,"Mantiene una amplia cartera de operaciones en múltiples segmentos industriales, contribuyendo al tema de Diversificación Industrial.",,2682965,CHF,SMART,STK,False,,IN2
TXT,industrial,industrial_diversification,US8832031012,TEXTRON INC,19,"Mantiene una amplia cartera de negocios en los segmentos aeroespacial, de defensa, industrial y financiero, demostrando un enfoque diversificado hacia los mercados industriales.",,13101,USD,SMART,STK,True,,IN2
ITW,industrial,industrial_diversification,US4523081093,ILLINOIS TOOL WORKS,20,"Opera una cartera diversificada de negocios industriales, sirviendo a una amplia gama de mercados finales con productos y soluciones especializados.",,8620,USD,SMART,STK,True,,IN2
URI,industrial,industrial_diversification,US9113631090,UNITED RENTALS INC,21,"Contribuye al tema de Diversificación Industrial al ofrecer soluciones integrales de alquiler de equipos a una amplia gama de clientes industriales, lo que permite sus diversos requisitos operativos.","United Rentals se centra en impulsar el crecimiento rentable asociándose con los clientes y satisfaciendo sus demandas, con el objetivo de mejorar la productividad del cliente a través de una oferta integral respaldada por capacidades tecnológicas. La empresa se centra en estrategias verticales, como las de servicios públicos, que ahora contribuyen con más del 10% de sus ingresos, y amplía su oferta de productos a través de adquisiciones como Yak. Están abriendo nuevos negocios, con 21 en el segundo trimestre y al menos 50 previstos para el año, al tiempo que también se centran en oportunidades de fusiones y adquisiciones para poner el capital a trabajar con rendimientos atractivos.",3629755,USD,SMART,STK,True,,IN2
ECL,industrial,industrial_diversification,US2788651006,ECOLAB INC,22,"Opera en múltiples segmentos industriales, lo que refleja su alineación con el tema de Diversificación Industrial.",,6682,USD,SMART,STK,True,,IN2
TKA,industrial,industrial_diversification,DE0007500001,THYSSEN-KRUPP AG,23,"Mantiene una cartera diversificada de negocios industriales, que van desde la producción de acero y tecnología automotriz hasta soluciones marinas y ingeniería de plantas industriales.",,4465866,EUR,SMART,STK,False,,IN2
WM,industrial,industrial_diversification,US94106L1098,WASTE MANAGEMENT INC,24,"Proporciona servicios esenciales de gestión de residuos y medioambientales que son críticos para las operaciones de una amplia gama de sectores industriales, apoyando sus diversas necesidades.",,13379,USD,SMART,STK,True,,IN2
TDY,industrial,industrial_diversification,US8793601050,TELEDYNE TECHNOLOGIES INC,25,Opera en diversos sectores industriales al proporcionar una amplia cartera de tecnologías avanzadas y soluciones especializadas para diversas aplicaciones.,"El enfoque de Teledyne hacia la diversificación industrial es evidente en su énfasis estratégico en expandir su negocio a través de adquisiciones específicas y desarrollo de productos en cuatro segmentos clave: Imagen Digital, Instrumentación, Electrónica Aeroespacial y de Defensa, y Sistemas de Ingeniería. Esto se ve respaldado además por su provisión de tecnologías habilitadoras para mercados de crecimiento industrial. El enfoque de la empresa incluye la optimización de operaciones e instalaciones, así como la gestión de costos asociados con aranceles, al tiempo que integra adquisiciones recientes para impulsar el crecimiento de las ventas, particularmente dentro del segmento de Electrónica Aeroespacial y de Defensa.",6340773,USD,SMART,STK,True,"[{'name': 'tdy-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tdy-Q324-10-Q.html'}, {'name': 'tdy-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tdy-Q125-10-Q.html'}]",IN2
