symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,navigable,evidenceSources,theme_id
CAT,materials and mining,innovation_in_mining,US1491231015,CATERPILLAR INC,1,"Impulsa los avances en el sector minero al proporcionar equipos innovadores y soluciones tecnológicas que mejoran la eficiencia operativa, la seguridad y la productividad.",,5437,USD,SMART,STK,True,,MI1
BHP,materials and mining,innovation_in_mining,AU000000BHP4,BHP GROUP LTD,2,Invierte fuertemente e implementa tecnologías avanzadas y prácticas sostenibles para revolucionar sus operaciones mineras y mejorar la eficiencia en todo el sector.,,4036812,AUD,SMART,STK,False,,MI1
RIO,materials and mining,innovation_in_mining,GB0007188757,RIO TINTO PLC,3,"Impulsa avances en tecnologías y prácticas mineras, contribuyendo a la eficiencia, seguridad y sostenibilidad dentro de la industria.",,2852762,GBP,SMART,STK,False,,MI1
AAL,materials and mining,innovation_in_mining,GB00BTK05J60,ANGLO AMERICAN PLC,4,"Impulsa la adopción de tecnologías avanzadas y prácticas sostenibles para mejorar la eficiencia, la seguridad y la gestión ambiental en sus operaciones mineras.",,788708135,GBP,SMART,STK,False,,MI1
VALE3,materials and mining,innovation_in_mining,BRVALEACNOR0,VALE SA,5,Participa activamente y contribuye a los avances y mejoras tecnológicas dentro de la industria minera.,,52289812,BRL,B3,STK,False,,MI1
FMG,materials and mining,innovation_in_mining,AU000000FMG4,FORTESCUE LTD,6,Es pionera e implementa activamente tecnologías avanzadas y prácticas sostenibles para mejorar la eficiencia y el rendimiento ambiental en las operaciones mineras.,,34805876,AUD,SMART,STK,False,,MI1
FCX,materials and mining,innovation_in_mining,US35671D8570,FREEPORT-MCMORAN INC,7,Impulsa avances en las operaciones mineras a través de la adopción y el desarrollo de tecnologías y prácticas innovadoras para mejorar la eficiencia y la sostenibilidad.,"Freeport-McMoRan enfatiza la innovación en la minería a través de varias iniciativas. La compañía está incorporando nuevas aplicaciones, tecnologías y análisis de datos en sus procesos de lixiviación en sus operaciones de EE. UU. y América del Sur, al mismo tiempo que busca oportunidades para aprovechar nuevas tecnologías y herramientas analíticas en la automatización y las prácticas operativas para mejorar la eficiencia operativa, reducir costos y mejorar la intensidad de capital. La innovación es un impulsor de valor cada vez más importante para el negocio de Freeport, con equipos operativos que adoptan tecnologías y nuevas herramientas para permitir una mejor productividad y rendimiento de costos, y la compañía está trabajando activamente para aumentar el suministro nacional de cobre con un énfasis especial en el crecimiento de la producción refinada de manera rentable a través de su innovadora iniciativa de lixiviación.",7089,USD,SMART,STK,True,"[{'name': 'fcx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q225-10-Q.html'}, {'name': 'fcx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q125-10-Q.html'}, {'name': 'fcx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fcx-Q324-10-Q.html'}]",MI1
TTEK,materials and mining,innovation_in_mining,US88162G1031,TETRA TECH INC,8,Proporciona servicios de consultoría e ingeniería que respaldan el desarrollo y la implementación de tecnologías innovadoras y prácticas sostenibles dentro de la industria minera.,"La participación de Tetra Tech en la Innovación Minera se demuestra a través de su adquisición de Sage Automation, que ha ampliado su trabajo con clientes mineros comerciales. La empresa está vendiendo activamente soluciones de automatización digital a estos clientes globales. Si bien la minería no es un enfoque principal, representa un área en crecimiento dentro de su cartera comercial, ya que la empresa ha ampliado su trabajo para clientes comerciales en minería.",275920,USD,SMART,STK,True,,MI1
ALB,materials and mining,innovation_in_mining,US0126531013,ALBEMARLE CORP,9,"Desarrolla e implementa tecnologías de extracción avanzadas y prácticas sostenibles en la minería de litio, contribuyendo a la innovación y eficiencia de la producción de minerales críticos para la demanda global.",,4347,USD,SMART,STK,True,,MI1
NEM,materials and mining,innovation_in_mining,US6516391066,NEWMONT CORP,10,Contribuye a la evolución de las prácticas mineras mediante la integración de soluciones y tecnologías innovadoras para optimizar la extracción de recursos y reducir el impacto ambiental.,"Newmont demuestra su compromiso con la innovación en la minería a través de varias iniciativas. La compañía está implementando un Sistema de Transporte Autónomo en Boddington, incluyendo la compra de camiones de transporte dentro del capital de sostenimiento. Newmont también anunció una alianza estratégica con CAT, comprometiendo una inversión preliminar de $100 millones para desarrollar e implementar un sistema integral de minería autónoma totalmente eléctrico destinado a lograr una minería con cero emisiones. Además, Newmont se enfoca en mejoras de productividad y optimizaciones de la estructura de costos en sus operaciones, aprovechando los hallazgos y lecciones aprendidas de incidentes para fortalecer los programas de seguridad y compartiendo estas ideas en la industria minera en general.",10174,USD,SMART,STK,True,"[{'name': 'nem-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q125-10-Q.html'}, {'name': 'nem-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q324-10-Q.html'}, {'name': 'nem-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nem-FY24-10-K.html'}]",MI1
IE,materials and mining,innovation_in_mining,US46578C1080,IVANHOE ELECTRIC INC / US,11,Impulsa la innovación en el sector minero a través del desarrollo y la aplicación de soluciones eléctricas y tecnológicas avanzadas.,"La empresa se enfoca en la innovación en minería a través de su sistema de prospección geofísica Typhoon™ y análisis de datos avanzados de su subsidiaria, Computational Geosciences Inc. (""CGI""). Esta tecnología acelera y reduce el riesgo de la exploración de minerales, buscando nuevos depósitos de metales críticos potencialmente indetectables por métodos tradicionales. El enfoque de la empresa refleja un énfasis estratégico en mejorar la exploración de minerales utilizando tecnologías innovadoras.",569570281,USD,SMART,STK,False,"[{'name': 'ie-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ie-Q225-10-Q.html'}]",MI1
MP,materials and mining,innovation_in_mining,US5533681012,MP MATERIALS CORP,12,Se dedica a la aplicación de métodos y tecnologías innovadoras dentro de la industria minera.,,455592408,USD,SMART,STK,True,,MI1
CMI,materials and mining,innovation_in_mining,US2310211063,CUMMINS INC,13,"Proporciona soluciones de energía y motores que son integrales para mejorar la eficiencia, la productividad y la evolución tecnológica de las operaciones mineras.",,6207,USD,SMART,STK,True,,MI1
AA,materials and mining,innovation_in_mining,US0138721065,ALCOA CORP,14,"Participa en avances dentro del sector minero, centrándose en mejorar la eficiencia operativa y la sostenibilidad a través de desarrollos tecnológicos.",,251962528,USD,SMART,STK,True,,MI1
SCCO,materials and mining,innovation_in_mining,US84265V1052,SOUTHERN COPPER CORP,15,Participa en el desarrollo continuo de nuevas tecnologías y metodologías para mejorar la eficiencia y la sostenibilidad en las operaciones mineras.,,1812968,USD,SMART,STK,False,,MI1
UEC,materials and mining,innovation_in_mining,US9168961038,URANIUM ENERGY CORP,16,Asociado con el tema de Innovación en Minería.,,37451201,USD,SMART,STK,False,,MI1
S32,materials and mining,innovation_in_mining,AU000000S320,SOUTH32 LTD,17,Se enfoca en avances y nuevas tecnologías dentro del sector minero.,,193494541,AUD,SMART,STK,False,,MI1
MVST,materials and mining,innovation_in_mining,US59516C1062,MICROVAST HOLDINGS INC,18,Es importante para el tema de Innovación en Minería.,,504717050,USD,SMART,STK,False,,MI1
HL,materials and mining,innovation_in_mining,US4227041062,HECLA MINING CO,19,Contribuye a la evolución de las prácticas mineras a través de sus actividades operativas.,"La participación de Hecla Mining en Innovación Minera es evidente en su implementación estratégica de la semiautomatización y el análisis avanzado en varias facetas operativas, incluida la planificación de minas y el control de calidad del mineral. Esta iniciativa tiene como objetivo mejorar la eficiencia y reducir los costos en toda la organización. Además, la construcción por parte de la empresa de una planta de relaves cementados en Keno Hill demuestra un compromiso con las mejoras de infraestructura y las prácticas sostenibles dentro de sus operaciones mineras.",8027,USD,SMART,STK,True,,MI1
CDE,materials and mining,innovation_in_mining,US1921085049,COEUR MINING INC,20,"Emplea técnicas y tecnologías modernas en sus operaciones mineras, lo que refleja los esfuerzos continuos para mejorar la eficiencia y la productividad dentro del sector.",,60532895,USD,SMART,STK,False,,MI1
AMR,materials and mining,innovation_in_mining,US0207641061,ALPHA METALLURGICAL RESOURCE,21,Mantiene una participación en el tema de Innovación en Minería.,"El compromiso de la empresa con la Innovación en Minería es evidente a través de su enfoque en la reducción de costos, incluyendo un aumento del 10% en toneladas por hora-hombre y la reducción de gastos de suministro y mantenimiento. Además, el desarrollo de la mina de bajo volumen Kingston Wildcat, con su progreso en el desarrollo de rampas e infraestructura de apoyo, resalta los esfuerzos de la empresa por innovar dentro de sus operaciones mineras. Los equipos de operaciones también han logrado mejoras en la eficiencia, lo que contribuye a menores costos laborales y fijos.",468056568,USD,SMART,STK,True,,MI1
