industry,theme,isin_code,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
entertainment and media,interactive_entertainment,US5949181045,MICROSOFT CORP,1,"Impulsa el sector del entretenimiento interactivo a través de sus consolas de juegos líderes, extensos servicios de suscripción y una vasta cartera de estudios de desarrollo de juegos propios.",,272093,USD,MSFT,SMART,STK,True,,INT
entertainment and media,interactive_entertainment,JP3435000009,SONY GROUP CORP,2,"Desempeña un papel fundamental en el panorama global del entretenimiento interactivo a través del desarrollo y la distribución de consolas de videojuegos, software y servicios digitales.",,13905705,JPY,6758,SMART,STK,False,,INT
entertainment and media,interactive_entertainment,JP3756600007,NINTENDO CO LTD,3,"Desarrolla y publica una cartera diversa de videojuegos y hardware de juego dedicado, formando una parte fundamental de la industria del entretenimiento interactivo.",,14017724,JPY,7974,SMART,STK,False,,INT
entertainment and media,interactive_entertainment,US2855121099,ELECTRONIC ARTS INC,4,"Desarrolla, publica y distribuye una amplia cartera de videojuegos populares en diversas plataformas, contribuyendo significativamente a la industria del entretenimiento interactivo.","El negocio de Electronic Arts se centra en el entretenimiento interactivo, ya que la compañía se identifica como líder mundial en el sector. Esto se demuestra a través de su desarrollo, marketing, publicación y entrega de juegos, contenido y servicios en diversas plataformas. La compañía se enfoca en crear juegos y experiencias innovadoras diseñadas para ofrecer entretenimiento interactivo de alta calidad, impulsar la participación y hacer crecer las comunidades en línea globales. EA también enfatiza la profundización de la participación al conectar la narración interactiva con la propiedad intelectual clave, destacando la importancia estratégica del entretenimiento interactivo para la empresa.",268995,USD,EA,SMART,STK,True,"[{'name': 'ea-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q325-10-Q.html'}, {'name': 'ea-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ea-Q126-10-Q.html'}, {'name': 'ea-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ea-FY25-10-K.html'}]",INT
entertainment and media,interactive_entertainment,US8740541094,TAKE-TWO INTERACTIVE SOFTWRE,5,"Desarrolla y publica una diversa cartera de productos de entretenimiento interactivo, incluidas franquicias de videojuegos de renombre para consolas, PC y dispositivos móviles, dando forma al panorama mundial de los videojuegos.","El negocio principal de Take-Two Interactive gira en torno al entretenimiento interactivo, como lo demuestra su identificación explícita como un desarrollador, editor y comercializador líder en este dominio. Las operaciones de la compañía se llevan a cabo principalmente a través de sus conocidas marcas, Rockstar Games, 2K y Zynga, que desarrollan, operan y publican productos de entretenimiento interactivo en sistemas de juegos de consola, plataformas móviles y PC. Esta dedicación al entretenimiento interactivo se ve reforzada por su estrategia de ser la compañía más creativa, innovadora y eficiente en la industria del entretenimiento interactivo en evolución, entregando productos a través de minoristas físicos, descargas digitales, plataformas en línea y servicios de transmisión en la nube.",6478131,USD,TTWO,SMART,STK,True,"[{'name': 'ttwo-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q225-10-Q.html'}, {'name': 'ttwo-Q126-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q126-10-Q.html'}, {'name': 'ttwo-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ttwo-Q325-10-Q.html'}, {'name': 'ttwo-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ttwo-FY25-10-K.html'}]",INT
entertainment and media,interactive_entertainment,US0378331005,APPLE INC,6,"Facilita un vasto ecosistema para juegos digitales y experiencias interactivas a través de su App Store y servicios de suscripción dedicados como Apple Arcade, contribuyendo significativamente a la distribución y consumo de entretenimiento interactivo.",,265598,USD,AAPL,SMART,STK,True,,INT
entertainment and media,interactive_entertainment,US02079K3059,ALPHABET INC-CL A,7,"Proporciona un ecosistema integral para el entretenimiento interactivo a través de su plataforma Google Play Games, extenso contenido de juegos en YouTube y el sistema operativo Android subyacente que impulsa una amplia gama de experiencias de juegos móviles.",,208813719,USD,GOOGL,SMART,STK,True,,INT
entertainment and media,interactive_entertainment,US91332U1016,UNITY SOFTWARE INC,8,Ofrece una plataforma de desarrollo 3D en tiempo real ampliamente adoptada que impulsa una parte significativa de las experiencias de entretenimiento interactivas en varios dispositivos.,"El compromiso de Unity con el Entretenimiento Interactivo es evidente en su conjunto de herramientas diseñadas para crear, comercializar y hacer crecer juegos y experiencias interactivas en diversas plataformas, incluyendo móvil, PC, consola y XR. Las suscripciones de Create Solutions de la compañía brindan acceso a tecnologías que permiten a los usuarios editar, ejecutar e iterar experiencias interactivas, RT3D y 2D. Además, Unity se identifica como un actor clave preparado para capitalizar las oportunidades en la intersección de la IA, la creación de contenido digital, la publicidad digital y el entretenimiento interactivo, destacando la importancia estratégica de este tema para la empresa.",445423543,USD,U,SMART,STK,False,"[{'name': 'u-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/u-Q225-10-Q.html'}, {'name': 'u-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/u-Q125-10-Q.html'}, {'name': 'u-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/u-FY24-10-K.html'}]",INT
entertainment and media,interactive_entertainment,US7710491033,ROBLOX CORP -CLASS A,9,"Proporciona una plataforma líder para experiencias interactivas generadas por usuarios y mundos virtuales, dando forma significativamente al panorama del entretenimiento digital.","La plataforma de Roblox está fuertemente invertida en entretenimiento interactivo, inspirándose en los juegos y el entretenimiento para permitir a los usuarios conectarse, crear, jugar, trabajar, aprender y compartir experiencias inmersivas en 3D. La plataforma de la empresa consta de Roblox Client, que permite a los usuarios explorar estas experiencias, y Roblox Studio, que permite a los desarrolladores y creadores crearlas, publicarlas y operarlas. Además, Roblox genera sustancialmente todos sus ingresos a través de la venta o el acceso a contenido virtual, lo que mejora la experiencia social en la plataforma, destacando la importancia del entretenimiento interactivo para su modelo de negocio.",476026060,USD,RBLX,SMART,STK,True,"[{'name': 'rblx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rblx-Q225-10-Q.html'}, {'name': 'rblx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rblx-FY24-10-K.html'}, {'name': 'rblx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rblx-Q125-10-Q.html'}]",INT
entertainment and media,interactive_entertainment,US30303M1027,META PLATFORMS INC-CLASS A,10,"Desarrolla hardware y software de realidad virtual, incluida la plataforma Quest y Horizon Worlds, para crear experiencias de entretenimiento interactivas inmersivas y fomentar los juegos sociales.",,107113386,USD,META,SMART,STK,True,,INT
