industry,theme,isin_code,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
materials and mining,mining_exploration,AU000000BHP4,BHP GROUP LTD,1,"Participa activamente en extensos programas de exploración global para descubrir nuevos depósitos minerales y expandir su base de recursos, sustentando la producción y el crecimiento futuros en el sector minero.",,4036812,AUD,BHP,SMART,STK,False,,MI4
materials and mining,mining_exploration,GB0007188757,RIO TINTO PLC,2,Es una minera global líder con una participación significativa en actividades de exploración minera para descubrir y desarrollar nuevos recursos minerales en todo el mundo.,,2852762,GBP,RIO,SMART,STK,False,,MI4
materials and mining,mining_exploration,US6516391066,NEWMONT CORP,3,"Participa activamente en programas de exploración global para descubrir y delimitar nuevos recursos minerales, asegurando la sostenibilidad y el crecimiento a largo plazo de su producción de oro y cobre.","La participación de Newmont en la exploración minera es evidente en su enfoque principal en la exploración y adquisición de propiedades de oro, que también pueden contener otros metales como cobre, plata, plomo y zinc. Las declaraciones prospectivas de la empresa incluyen estimaciones sobre futuros gastos de exploración y descubrimientos, lo que destaca aún más su participación en esta área. Si bien la exploración es una actividad clave, no parece ser un área importante de inversión, ya que la empresa se centra principalmente en la adquisición de propiedades de oro.",10174,USD,NEM,SMART,STK,True,"[{'name': 'nem-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q324-10-Q.html'}, {'name': 'nem-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nem-Q125-10-Q.html'}]",MI4
materials and mining,mining_exploration,BRVALEACNOR0,VALE SA,4,"Participa activamente en la exploración minera para identificar y desarrollar nuevas reservas minerales, garantizando la sostenibilidad a largo plazo y el crecimiento de sus operaciones globales.",,52289812,BRL,VALE3,B3,STK,False,,MI4
materials and mining,mining_exploration,GB00BTK05J60,ANGLO AMERICAN PLC,5,"Participa activamente en el descubrimiento y desarrollo de nuevos recursos minerales a nivel mundial, sustentando sus futuras capacidades de producción en una cartera diversa de productos básicos.",,788708135,GBP,AAL,SMART,STK,False,,MI4
materials and mining,mining_exploration,US35671D8570,FREEPORT-MCMORAN INC,6,Impulsa el descubrimiento y desarrollo de nuevos recursos minerales a través de extensos programas de exploración minera.,,7089,USD,FCX,SMART,STK,True,,MI4
materials and mining,mining_exploration,GB0000456144,ANTOFAGASTA PLC,7,Lleva a cabo importantes actividades de exploración para identificar y desarrollar nuevos recursos minerales para su cartera minera.,,17628566,GBP,ANTO,SMART,STK,False,,MI4
materials and mining,mining_exploration,US0138721065,ALCOA CORP,8,Se dedica a la exploración y evaluación de recursos minerales para apoyar sus operaciones globales de producción de aluminio.,"El compromiso de Alcoa Corporation con el tema de Exploración Minera es evidente a través de su papel como productor de bauxita, alúmina y aluminio, organizado en segmentos operativos de Alúmina y Aluminio. La empresa está buscando activamente aprobaciones de minas para regiones mineras clave de Australia, incluidas Myara North y Holyoake, que están siendo evaluadas por la Agencia de Protección Ambiental de Australia Occidental. Además, Alcoa participa en evaluaciones ambientales y limpiezas en sus ubicaciones mineras, lo que refleja su participación en la gestión de sitios mineros y posibles actividades de exploración.",251962528,USD,AA,SMART,STK,True,,MI4
materials and mining,mining_exploration,US5533681012,MP MATERIALS CORP,9,Se dedica a la exploración y evaluación de depósitos minerales para apoyar sus actividades de producción de materiales.,"El compromiso de MP Materials con la Exploración Minera es evidente a través de su propiedad y operación de la Mina y Planta de Procesamiento de Tierras Raras de Mountain Pass, el único sitio de esta escala en América del Norte. El enfoque de la empresa se ve subrayado por las inversiones continuas en Mountain Pass, incluido el desarrollo de las instalaciones HREE y los proyectos Upstream 60K. Además, MP Materials anticipa extender la vida útil de su mina a través de perforaciones exploratorias adicionales y capacidades de procesamiento mejoradas, con reservas totales probadas y probables estimadas en 2.04 millones de toneladas cortas de REO contenidas en 29.69 millones de toneladas cortas de mineral en Mountain Pass.",455592408,USD,MP,SMART,STK,True,"[{'name': 'mp-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mp-Q125-10-Q.html'}, {'name': 'mp-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mp-Q225-10-Q.html'}, {'name': 'mp-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mp-FY24-10-K.html'}]",MI4
materials and mining,mining_exploration,US1921085049,COEUR MINING INC,10,Se enfoca en la exploración de nuevos depósitos minerales para expandir su base de recursos y asegurar futuras operaciones mineras.,"Coeur Mining demuestra un fuerte compromiso con la exploración minera, destacada por inversiones significativas y programas de perforación activos en su cartera. Se proyecta que el presupuesto de exploración de la empresa para 2025 se sitúe entre 77 y 93 millones de dólares, con una parte sustancial dedicada a la expansión y la perforación de reconocimiento. Este enfoque ya ha arrojado resultados positivos, incluido un descubrimiento notable en la zona de brecha entre las áreas de Babicanora y Las Chispas. Además, Coeur Mining mantiene una presencia activa de exploración en múltiples sitios, ejemplificada por hasta 27 equipos de perforación en toda la cartera, incluidos esfuerzos dedicados en Las Chispas, Palmarejo, Kensington, Wharf y Silvertip, con mayores gastos de exploración que reflejan la dedicación de la empresa a expandir los recursos minerales y extender la vida útil de la mina.",60532895,USD,CDE,SMART,STK,False,"[{'name': 'cde-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cde-Q125-10-Q.html'}, {'name': 'cde-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cde-FY24-10-K.html'}]",MI4
materials and mining,mining_exploration,CA7847301032,SSR MINING INC,11,"Participa en la exploración y desarrollo de propiedades minerales, buscando activamente nuevos depósitos y expandiendo reservas a través de evaluaciones geológicas y programas de perforación.","SSR Mining participa en la exploración y desarrollo de propiedades de recursos de metales preciosos en múltiples ubicaciones. Los gastos de exploración de la compañía se han dirigido a proyectos como los Proyectos Porky y Amisk en Canadá, el proyecto Sterling en Marigold, el proyecto Cortaderas en Puna, y la exploración de superficie para los proyectos Porky West y Amisk en Seabee. La compañía asignó $41.8 millones a exploración y evaluación en 2024, aunque esto representó una disminución respecto a los $50.2 millones del año anterior.",284632514,CAD,SSRM,SMART,STK,False,"[{'name': 'ssrm-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ssrm-Q125-10-Q.html'}, {'name': 'ssrm-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ssrm-FY24-10-K.html'}]",MI4
