symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
SLB,EU,SHA,energy and utilities,shale_gas,AN8068571086,SLB LTD,1,"Proporciona tecnologías y servicios críticos esenciales para la exploración, el desarrollo y la producción de gas de esquisto, impactando significativamente las capacidades operativas de la industria.","La participación de SLB en el Gas de Esquistos es evidente a través de su participación en actividades de gas tanto convencionales como no convencionales, particularmente en Medio Oriente y Asia, donde estos recursos proporcionan un impulso para la actividad. El enfoque de la empresa en el gas se ve aún más subrayado por su ambición de hacer crecer su negocio de gas en un 40% para 2030, y el gas no convencional sigue siendo una prioridad. Esto incluye la actividad de gas natural no convencional en aumento en Arabia Saudita, lo que indica la exposición internacional de SLB al gas, incluidas las fuentes no convencionales.",12200,USD,SMART,STK,
EQT,EU,SHA,energy and utilities,shale_gas,US26884L1098,EQT CORP,2,"Opera como un productor de primer nivel en el sector del gas de esquisto, impactando significativamente el suministro y desarrollo de gas natural.","El enfoque de EQT en el gas de esquisto es evidente a través de sus operaciones en la Cuenca Apalache, que incluye importantes reservas de gas de esquisto. La adquisición de los activos de producción upstream de Olympus Energy, que comprenden una posición verticalmente integrada de 90,000 acres netos adyacentes a la superficie de EQT en el suroeste de los Apalaches, subraya aún más este enfoque, con una producción neta de aproximadamente 500 millones de pies cúbicos por día. Estos activos tienen más de 10 años de inventario principal de Marcellus, asumiendo niveles de actividad de mantenimiento, con 7 años adicionales de potencial de crecimiento de Utica, y EQT está en conversaciones con una docena de proyectos de energía propuestos en la región de los Apalaches, proporcionando un valor estratégico potencial a través de futuros acuerdos de suministro de gas.",57698865,USD,SMART,STK,
WMB,EU,SHA,energy and utilities,shale_gas,US9694571004,WILLIAMS COS INC,3,"Desempeña un papel fundamental en la infraestructura de transporte intermedio de gas de esquisto, facilitando su recolección, procesamiento y transporte desde las cuencas de producción hasta los mercados.","La participación de Williams en el Gas de Esquisto es evidente a través de sus operaciones de midstream, que abarcan la recolección, el procesamiento y el almacenamiento de gas natural en regiones clave de esquisto, incluidas las áreas de esquisto Marcellus, Utica, Eagle Ford y Haynesville. El compromiso de la empresa se destaca aún más por la construcción en curso de nuevos activos de recolección de gas natural que se espera que manejen 1.8 Bcf/d de gas natural de la cuenca de esquisto de Haynesville, con el objetivo de abastecer mercados premium y plantas de exportación de GNL. Esto está respaldado por gastos de capital de crecimiento asignados a proyectos dentro de la cuenca de esquisto de Haynesville, como la expansión del Louisiana Energy Gateway, que se anticipa que aumentará los volúmenes de esquisto de Haynesville y fortalecerá en general los volúmenes, lo que refleja su exposición a cuencas cruciales centradas en el gas natural.",13805,USD,SMART,STK,"[{'name': 'wmb-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/wmb-Q125-10-Q.html'}, {'name': 'wmb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/wmb-FY24-10-K.html'}]"
HAL,EU,SHA,energy and utilities,shale_gas,US4062161017,HALLIBURTON CO,4,"Proporciona tecnologías, equipos y servicios esenciales que permiten y optimizan la extracción y producción de gas de esquisto.",,7890,USD,SMART,STK,
CNX,EU,SHA,energy and utilities,shale_gas,US12653C1080,CNX RESOURCES CORP,5,"Impulsa la exploración, el desarrollo y la producción de recursos de gas de esquisto, desempeñando un papel crucial en la cadena de suministro de energía.","Las operaciones de CNX se centran en gran medida en la extracción de gas de esquisto, como lo demuestran sus informes de volúmenes de ventas de gas de esquisto y el rendimiento financiero de su segmento de Esquisto. La empresa perfora y completa activamente pozos en las formaciones de esquisto Utica y Marcellus. La Transacción Apex, que amplía la tenencia de arrendamientos no desarrollados de esquisto de CNX, demuestra aún más el compromiso estratégico de la empresa con el gas de esquisto. Esta transacción proporciona una huella de infraestructura existente que puede aprovecharse para el desarrollo futuro y fue el principal impulsor del aumento de los volúmenes totales de ventas de esquisto.",295296295,USD,SMART,STK,"[{'name': 'cnx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cnx-Q125-10-Q.html'}, {'name': 'cnx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cnx-Q324-10-Q.html'}, {'name': 'cnx-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cnx-Q225-10-Q.html'}, {'name': 'cnx-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cnx-FY24-10-K.html'}]"
CVX,EU,SHA,energy and utilities,shale_gas,US1667641005,CHEVRON CORP,6,"Desempeña un papel fundamental en la industria del gas de esquisto, participando en la exploración y desarrollo de extensos recursos de esquisto para satisfacer la demanda energética mundial.","El compromiso de Chevron con el gas de esquisto es evidente a través de su significativa producción y gestión estratégica de activos. La cartera de petróleo de esquisto y petróleo apretado de la empresa, incluidas las operaciones en Permian, DJ y Bakken, representa el 40% de su producción total, lo que equivale a 1,6 millones de barriles por día. Chevron se centra en aplicar eficiencias de capital y operativas para mantener los niveles de producción y generar un flujo de caja sustancial de estos activos. Sin embargo, Chevron también está desinvirtiendo en algunos activos de esquisto, como lo demuestra la venta anunciada de su participación en los activos de esquisto de Duvernay.",5684,USD,SMART,STK,"[{'name': 'cvx-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q324-10-Q.html'}, {'name': 'cvx-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cvx-Q125-10-Q.html'}]"
CRK,EU,SHA,energy and utilities,shale_gas,US2057683029,COMSTOCK RESOURCES INC,7,"Se enfoca en la exploración y producción de gas natural de formaciones de esquisto, contribuyendo significativamente a la industria del gas de esquisto.","Comstock Resources demuestra un fuerte enfoque en la extracción de gas de esquisto, principalmente dentro de las formaciones de esquisto Haynesville y Bossier, donde se concentran sus activos. La compañía ha invertido más de mil millones de dólares para desarrollar su yacimiento Western Haynesville, que incluye una posición de acreage significativa. Las operaciones de Comstock implican extensas actividades de perforación y completación en estas formaciones de esquisto, con un enfoque en la optimización de técnicas para maximizar la producción y los retornos de los pozos. Su experiencia se extiende a la perforación de algunos de los pozos horizontales de esquisto más profundos y de mayor presión, lo que destaca el compromiso y las capacidades de la compañía dentro de la industria del gas de esquisto.",241891174,USD,SMART,STK,"[{'name': 'crk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crk-Q324-10-Q.html'}, {'name': 'crk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crk-Q225-10-Q.html'}, {'name': 'crk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/crk-FY24-10-K.html'}, {'name': 'crk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/crk-Q125-10-Q.html'}]"
EOG,EU,SHA,energy and utilities,shale_gas,US26875P1012,EOG RESOURCES INC,8,"Es un productor independiente líder con importantes actividades de exploración y desarrollo en importantes yacimientos de gas de esquisto, lo que contribuye sustancialmente al suministro de la industria.","EOG Resources demuestra su compromiso con el gas de esquisto a través de su énfasis en la experiencia en perforación horizontal y completación aplicada a yacimientos de gas natural no convencionales, con actividades centradas principalmente en las áreas de la Cuenca Delaware, Eagle Ford y Montañas Rocosas. El emergente yacimiento de gas seco Dorado en el sur de Texas de la compañía, junto con los yacimientos Powder River Basin y Utica Combo, contribuyen a la generación de flujo de caja libre. Además, EOG se está preparando para perforar un prospecto de arena de gas compacta no convencional en tierra en Bahréin y continúa suministrando al mercado de GNL de la Costa del Golfo de Texas a través de acuerdos de venta de gas con Cheniere.",6890,USD,SMART,STK,"[{'name': 'eog-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/eog-FY24-10-K.html'}]"
COP,EU,SHA,energy and utilities,shale_gas,US20825C1045,CONOCOPHILLIPS,9,"Se centra en la exploración, el desarrollo y la producción significativos de gas natural a partir de formaciones de esquisto.","La participación de ConocoPhillips en la industria del gas de esquisto es evidente a través de sus yacimientos no convencionales ricos en recursos en América del Norte, incluidos los programas de desarrollo en la Cuenca Delaware, Eagle Ford, Cuenca Midland y Bakken. Las inversiones en tecnología de la empresa también se centran en el gas de esquisto, junto con yacimientos de petróleo convencional y de lutitas, arenas bituminosas, recuperación mejorada de petróleo y GNL. Si bien ConocoPhillips participa en la producción de gas natural en los 48 estados inferiores, sus actividades en gas de esquisto forman parte de una cartera más amplia de recursos y tecnologías energéticas.",10885,USD,SMART,STK,"[{'name': 'cop-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/cop-Q125-10-Q.html'}, {'name': 'cop-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cop-FY24-10-K.html'}]"
RRC,EU,SHA,energy and utilities,shale_gas,US75281A1097,RANGE RESOURCES CORP,10,"Opera como un productor significativo dentro de la industria del gas de esquisto, contribuyendo sustancialmente al suministro y desarrollo de recursos de gas natural.","Range Resources está fuertemente involucrada en la industria del gas de esquisto, como lo demuestra su enfoque en la exploración, desarrollo y adquisición de propiedades de gas natural y líquidos en la región de los Apalaches de los Estados Unidos, una región conocida por la producción de gas de esquisto. La cartera de inversiones de la empresa se centra en activos de gas natural y NGL de alta calidad en la Commonwealth de Pensilvania, que es conocida por la producción de gas de esquisto, y continúa consolidando sus posiciones de acreage en la zona de esquisto de Marcellus en Pensilvania. Además, la empresa reconoce el bajo costo y las bajas emisiones del gas de esquisto, destacando su importancia para respaldar el crecimiento de la demanda estructural de las exportaciones de gas natural licuado de los Estados Unidos, la demanda interna de gas industrial y la generación de energía.",6608450,USD,SMART,STK,"[{'name': 'rrc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rrc-Q225-10-Q.html'}, {'name': 'rrc-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rrc-Q125-10-Q.html'}, {'name': 'rrc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rrc-FY24-10-K.html'}, {'name': 'rrc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rrc-Q324-10-Q.html'}]"
