type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
materials and mining,bioplastics_and_sustainable_packaging,DE000BASF111,BASF SE,1,"Desarrolla y suministra materiales y soluciones avanzadas que permiten la producción de bioplásticos y envases sostenibles, desempeñando un papel fundamental en la innovación y expansión de la industria.",,77680640,EUR,BAS,SMART,STK,False,
materials and mining,bioplastics_and_sustainable_packaging,JE00BJ1F3079,AMCOR PLC,2,Se enfoca en el desarrollo y la provisión de soluciones de bioplásticos y embalajes sostenibles para satisfacer las demandas del mercado de productos respetuosos con el medio ambiente.,"Amcor demuestra su enfoque en envases sostenibles a través de varias iniciativas. La empresa se centra en producir envases cada vez más reciclables, reutilizables, de menor peso y fabricados con más contenido reciclado. Para impulsar estos esfuerzos, Amcor invierte 180 millones de dólares en I+D anualmente y aprovecha a más de 1.500 profesionales de I+D para abordar desafíos complejos de funcionalidad y sostenibilidad. Amcor tiene como objetivo aprovechar los recursos combinados para impulsar la innovación y soluciones de embalaje más sostenibles.",364845429,USD,AMCR,SMART,STK,True,"[{'name': 'amcr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amcr-Q125-10-Q.html'}, {'name': 'amcr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/amcr-Q225-10-Q.html'}]"
materials and mining,bioplastics_and_sustainable_packaging,US2605571031,DOW INC,3,"Juega un papel importante en el avance de soluciones de embalaje sostenible y desarrollo de bioplásticos, contribuyendo a la evolución de la industria a través de la innovación y las ofertas de productos.","Dow demuestra su enfoque en bioplásticos y embalajes sostenibles a través de varias acciones clave. La empresa adquirió Circulus Holdings, una empresa de reciclaje mecánico, por 130 millones de dólares para convertir residuos plásticos en resina postconsumo. Subrayando aún más este compromiso, Dow emitió 1.250 millones de dólares en pagarés sénior no garantizados bajo su Marco de Financiación Verde para apoyar su estrategia de sostenibilidad y sus objetivos de economía circular. Además, Dow se dirige a segmentos de mercado de mayor valor, como el de envases de alimentos y especialidades, y tiene un acuerdo a largo plazo para suministrar soluciones de bajas emisiones de carbono a una importante marca de consumo.",356576040,USD,DOW,SMART,STK,True,"[{'name': 'dow-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/dow-FY24-10-K.html'}, {'name': 'dow-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/dow-Q324-10-Q.html'}]"
materials and mining,bioplastics_and_sustainable_packaging,US2774321002,EASTMAN CHEMICAL CO,4,Impulsa avances en bioplásticos y embalajes sostenibles a través de sus innovaciones y soluciones de materiales.,"Eastman demuestra su compromiso con el tema de Bioplásticos y Embalajes Sostenibles a través de varias iniciativas, en particular el desarrollo de Aventa™, un biopolímero celulósico biodegradable y compostable utilizado en aplicaciones de embalaje de alimentos, y Aventa™ Renew, que incorpora plástico reciclado. El enfoque de la empresa se extiende a la construcción de infraestructura para la gestión de residuos plásticos y la operación de instalaciones de reciclaje molecular. Si bien Eastman invierte en tecnologías de reciclaje molecular y persigue plataformas de economía circular, estos esfuerzos forman parte de iniciativas de sostenibilidad más amplias, como lo demuestra el uso de bonos verdes para financiar proyectos ambientales.",6832,USD,EMN,SMART,STK,True,"[{'name': 'emn-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/emn-Q125-10-Q.html'}, {'name': 'emn-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/emn-Q225-10-Q.html'}, {'name': 'emn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/emn-FY24-10-K.html'}]"
materials and mining,bioplastics_and_sustainable_packaging,US3886891015,GRAPHIC PACKAGING HOLDING CO,5,"Desarrolla y proporciona soluciones de embalaje sostenibles, incluidas las fabricadas con bioplásticos, lo que contribuye significativamente a las prácticas de embalaje ambientalmente responsables.","Graphic Packaging está profundamente involucrada con el tema de los bioplásticos y los envases sostenibles, como lo demuestra su posición como productor mundial líder de envases para bienes de consumo fabricados con materiales renovables o reciclados. La empresa diseña y fabrica diversas soluciones de envasado sostenible, incluyendo cartones, cartones multipack, bandejas, portadores y envases de cartón, enfatizando su compromiso de reducir el impacto ambiental de los envases de consumo. Este compromiso es fundamental para su estrategia, objetivos y propósito comercial, con un crecimiento de las ventas impulsado por la innovación a través de la conversión a soluciones de envasado de consumo sostenible, incluido el EnviroClip Beam, una alternativa de bajo impacto a los anillos de plástico.",49476732,USD,GPK,SMART,STK,True,"[{'name': 'gpk-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpk-Q324-10-Q.html'}, {'name': 'gpk-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpk-Q125-10-Q.html'}, {'name': 'gpk-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gpk-Q225-10-Q.html'}, {'name': 'gpk-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/gpk-FY24-10-K.html'}]"
materials and mining,bioplastics_and_sustainable_packaging,US4601461035,INTERNATIONAL PAPER CO,6,Contribuye a la temática de Bioplásticos y Embalajes Sostenibles a través de sus ofertas de materiales de embalaje sostenibles y respetuosos con el medio ambiente.,"La empresa demuestra un fuerte enfoque en bioplásticos y embalajes sostenibles, con el objetivo de ser un proveedor líder de soluciones de embalaje sostenibles. Esto se evidencia en su iniciativa estratégica para lograr un crecimiento rentable a través de embalajes sostenibles y su objetivo de ser el proveedor más confiable e innovador en América del Norte y EMEA. El compromiso de la empresa se ve aún más subrayado por la finalización de la adquisición de DS Smith, creando un líder mundial en embalajes sostenibles, y la inversión en una planta de embalajes sostenibles de última generación en Salt Lake City, diseñada para aprovechar las fortalezas estratégicas e impulsar el crecimiento.",8511,USD,IP,SMART,STK,True,"[{'name': 'ip-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ip-Q324-10-Q.html'}, {'name': 'ip-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ip-FY24-10-K.html'}]"
materials and mining,bioplastics_and_sustainable_packaging,US0584981064,BALL CORP,7,Contribuye al sector de Bioplásticos y Embalajes Sostenibles a través de sus esfuerzos en el desarrollo y utilización de materiales de embalaje sostenibles.,,5052,USD,BALL,SMART,STK,True,
materials and mining,bioplastics_and_sustainable_packaging,NL0009434992,LYONDELLBASELL INDU-CL A,8,Impulsa la innovación y las soluciones dentro del tema de Bioplásticos y Embalajes Sostenibles.,"La participación de LyondellBasell en bioplásticos y embalajes sostenibles es evidente a través de su cambio estratégico hacia soluciones circulares y de bajas emisiones de carbono, particularmente dentro del mercado europeo. La empresa está concentrando cada vez más su producción en materias primas recicladas y renovables para ofrecer soluciones rentables y sostenibles, alineándose con las demandas del mercado local. Esto está respaldado por inversiones en instalaciones como el activo de reciclaje químico MoReTec-1 en Colonia, Alemania, y el desarrollo de líneas de productos circulares como CirculenRevive. Además, la empresa está revisando estratégicamente sus activos europeos para mejorar la rentabilidad y la ventaja competitiva, al tiempo que se posiciona para un futuro más sostenible y circular, con el objetivo de capitalizar regulaciones como la PPWR que fomentan un mercado para productos circulares.",74866700,USD,LYB,SMART,STK,True,"[{'name': 'lyb-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyb-Q324-10-Q.html'}, {'name': 'lyb-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lyb-FY24-10-K.html'}]"
materials and mining,bioplastics_and_sustainable_packaging,IE00028FXN24,SMURFIT WESTROCK PLC,9,"Desarrolla y proporciona soluciones de embalaje sostenibles, incluidas las derivadas de bioplásticos, para abordar las preocupaciones medioambientales y satisfacer la demanda del mercado de materiales ecológicos.","Smurfit Westrock demuestra su compromiso con el tema de los bioplásticos y el embalaje sostenible a través de varias iniciativas. La empresa se asocia con clientes para proporcionar soluciones de papel y embalaje sostenibles, reconociendo que una mayor conciencia de los consumidores sobre las soluciones de embalaje insostenibles ha beneficiado al embalaje a base de papel debido a su naturaleza renovable y reciclable. Además, el cambio en los comportamientos de los consumidores y el auge del comercio electrónico han acelerado la demanda de embalajes de cartón corrugado y de consumo, reforzando la importancia de las opciones sostenibles. Si bien estos esfuerzos indican una inversión en embalajes sostenibles, no se detallan explícitamente ni se posicionan como un enfoque estratégico principal.",713434903,USD,SW,SMART,STK,True,"[{'name': 'sw-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sw-Q225-10-Q.html'}, {'name': 'sw-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/sw-FY24-10-K.html'}, {'name': 'sw-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/sw-Q125-10-Q.html'}]"
materials and mining,bioplastics_and_sustainable_packaging,FI0009005961,STORA ENSO OYJ-R SHS,10,"Desarrolla y proporciona materiales de base biológica y soluciones de embalaje sostenibles, contribuyendo al cambio hacia alternativas ambientalmente responsables en la industria del embalaje.",,29816588,EUR,STERV,HEX,STK,False,
