industry,theme,isin_code,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
energy and utilities,utilityscale_projects,US65339F1012,NEXTERA ENERGY INC,1,Es un impulsor y desarrollador principal de proyectos energéticos de gran escala de servicios públicos.,"El compromiso de NextEra Energy con proyectos a escala de servicios públicos es evidente a través de las significativas inversiones y las iniciativas de energía renovable de Florida Power & Light (FPL). FPL ha puesto en servicio 894 megavatios de nueva energía solar y planea invertir cerca de 50 mil millones de dólares entre 2025 y 2029, añadiendo más de 25 gigavatios de nuevo almacenamiento en baterías para 2034, con una necesidad proyectada de más de 17 gigavatios de generación solar rentable en los próximos 10 años. Además, Energy Resources ha originado aproximadamente 3,2 gigavatios de nuevos proyectos de energías renovables y almacenamiento, contribuyendo a una cartera de aproximadamente 28 gigavatios, lo que pone de manifiesto el fuerte crecimiento de la empresa en energías renovables y almacenamiento y consolida la posición de FPL con su cartera de energía solar propiedad de la empresa de más de 7,9 gigavatios.",75960201,USD,NEE,SMART,STK,True,,UTI
energy and utilities,utilityscale_projects,US3364331070,FIRST SOLAR INC,2,"Proporciona módulos solares avanzados de película delgada optimizados para la generación de energía a escala de servicios públicos, lo que permite el desarrollo y la operación de proyectos de energía renovable a gran escala a nivel mundial.","First Solar está significativamente involucrada en proyectos a escala de servicios públicos, centrándose en ofrecer módulos en mercados geográficos clave, incluidos Estados Unidos, India y Europa, donde existe una demanda sustancial de electricidad solar fotovoltaica a gran escala. La empresa enfatiza que sus módulos, cuando se implementan en aplicaciones a escala de servicios públicos, entregan energía a un Costo Nivelado de Energía (LCOE) más bajo en comparación con los métodos tradicionales de generación de energía, posicionándolos como una alternativa atractiva. Creen que la energía solar a escala de servicios públicos seguirá siendo una oferta atractiva y representará una porción cada vez mayor de la combinación general de generación de electricidad. La empresa ha asegurado contratos para la venta futura de 68,5 GW de módulos solares, valorados en 20.500 millones de dólares, con un reconocimiento de ingresos esperado hasta 2030.",41622169,USD,FSLR,SMART,STK,True,"[{'name': 'fslr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fslr-FY24-10-K.html'}, {'name': 'fslr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fslr-Q324-10-Q.html'}]",UTI
energy and utilities,utilityscale_projects,IT0003128367,ENEL SPA,3,"Desarrolla, posee y opera proyectos de infraestructura a gran escala para la generación y distribución de energía, desempeñando un papel crucial en el sector de servicios públicos a nivel mundial.",,29816333,EUR,ENEL,SMART,STK,False,,UTI
energy and utilities,utilityscale_projects,DK0060094928,ORSTED A/S,4,"Se centra en el desarrollo, construcción y operación de activos de energía renovable a escala de servicios públicos, impulsando la transición global hacia la generación de energía sostenible.",,242060078,DKK,ORSTED,SMART,STK,False,,UTI
energy and utilities,utilityscale_projects,ES0144580Y14,IBERDROLA SA.,5,"Desarrolla, construye y opera proyectos de infraestructura energética a gran escala, incluyendo plantas de energía renovable y redes de transmisión, contribuyendo significativamente a la expansión global de servicios públicos.",,46586284,EUR,IBE,SMART,STK,False,,UTI
energy and utilities,utilityscale_projects,US74762E1029,QUANTA SERVICES INC,6,"Se especializa en la provisión de servicios integrales de infraestructura, que incluyen ingeniería, adquisición y construcción, para proyectos de servicios públicos a gran escala, como sistemas de generación, transmisión y distribución de energía.","El enfoque de la compañía en proyectos a escala de servicios públicos es evidente a través de su segmento Eléctrico, que incorpora tanto Soluciones de Infraestructura de Energía Eléctrica como Soluciones de Infraestructura de Energía Renovable. Este segmento constituye una parte significativa de los ingresos de la compañía. Además, la compañía está experimentando una alta demanda de infraestructura para transportar energía, incluyendo transmisión, subestaciones y distribución. La adquisición de Cupertino Electric Inc. (CEI) ha mejorado aún más los servicios de la compañía en soluciones de energía solar a escala de servicios públicos y almacenamiento de baterías.",6608432,USD,PWR,SMART,STK,True,"[{'name': 'pwr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/pwr-Q125-10-Q.html'}]",UTI
energy and utilities,utilityscale_projects,US65290E1010,NEXTPOWER INC-CL A,7,Proporciona sistemas avanzados de seguimiento solar esenciales para optimizar el rendimiento energético y la eficiencia operativa en proyectos solares de servicios públicos a gran escala a nivel mundial.,"El negocio de Nextracker está significativamente ligado a proyectos solares a escala de servicios públicos, como lo destaca su papel como proveedor líder de soluciones de seguidores solares utilizadas en estos proyectos a nivel mundial. La empresa ha enviado más de 130 GW de sistemas de seguidores solares a 31 de marzo de 2025, a proyectos en seis continentes para su uso en aplicaciones solares a escala de servicios públicos. Esto está respaldado además por su enfoque estratégico en la construcción de relaciones con las partes interesadas clave involucradas en el desarrollo, construcción, propiedad y mantenimiento de proyectos solares a escala de servicios públicos, y su evolución hacia una plataforma tecnológica más amplia para este sector, ejemplificada por proyectos como la planta de energía solar Oricheio de 550 megavatios en Grecia.",613058308,USD,NXT,SMART,STK,True,"[{'name': 'nxt-Q325-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxt-Q325-10-Q.html'}, {'name': 'nxt-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/nxt-Q225-10-Q.html'}, {'name': 'nxt-FY25-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/nxt-FY25-10-K.html'}]",UTI
energy and utilities,utilityscale_projects,US3696043013,GENERAL ELECTRIC,8,"Proporciona turbinas, equipos y servicios avanzados para proyectos de generación de energía a gran escala e infraestructura de red a nivel mundial, apoyando el desarrollo y la operación de sistemas de energía a escala de servicios públicos.",,498843743,USD,GE,SMART,STK,True,,UTI
energy and utilities,utilityscale_projects,DK0061539921,VESTAS WIND SYSTEMS A/S,9,"Desarrolla y suministra turbinas eólicas y soluciones para proyectos energéticos a gran escala, contribuyendo significativamente a la infraestructura global de energía renovable a escala de servicios públicos.",,481449559,DKK,VWS,SMART,STK,False,,UTI
energy and utilities,utilityscale_projects,US8425871071,SOUTHERN CO/THE,10,"Se centra en el desarrollo y la operación de proyectos de infraestructura de generación y transmisión de energía a gran escala, incluidas instalaciones nucleares, de gas y de energía renovable, para proporcionar energía confiable a sus clientes.","El compromiso de Southern Company con proyectos a escala de servicios públicos es evidente a través de varias iniciativas. Georgia Power ha solicitado la certificación de una instalación de almacenamiento de energía en baterías de 200 MW y ha buscado propuestas para hasta 8.500 MW de capacidad de diversas fuentes, lo que ha resultado en la selección de 18 recursos por un total de 7.999 MW. Además, Southern Power ha completado la instalación solar de South Cheyenne de 150 MW y está construyendo activamente la instalación solar de Millers Branch, con expansiones en curso, lo que demuestra una inversión continua en energía solar a escala de servicios públicos.",12300,USD,SO,SMART,STK,True,"[{'name': 'so-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/so-Q225-10-Q.html'}, {'name': 'so-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/so-Q324-10-Q.html'}]",UTI
