type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources
industrial,food_processing,CH0038863350,NESTLE SA-REG,1,"Lidera la industria mundial de procesamiento de alimentos mediante el desarrollo, la fabricación y la distribución de una amplia cartera de productos de alimentos y bebidas en numerosas categorías en todo el mundo.",,52238348,CHF,NESN,SMART,STK,False,
industrial,food_processing,GB00B10RZP78,UNILEVER PLC,2,"Opera como una entidad global líder en el procesamiento, fabricación y distribución de numerosos productos alimenticios en diversas categorías.",,39234893,GBP,ULVR.OLD,SMART,STK,False,
industrial,food_processing,US9024941034,TYSON FOODS INC-CL A,3,"Opera como una empresa alimentaria líder a nivel mundial, especializada en el procesamiento y comercialización de diversos productos alimenticios a base de proteínas, como carne de res, cerdo, pollo y alimentos preparados, para clientes minoristas y de servicios de alimentos.",,275405,USD,TSN,SMART,STK,True,
industrial,food_processing,US7134481081,PEPSICO INC,4,"Se enfoca en la producción a gran escala, el envasado y la distribución global de una amplia cartera de productos alimenticios y bebidas procesados, incluidos snacks y comidas convenientes.",,11017,USD,PEP,SMART,STK,True,
industrial,food_processing,US0394831020,ARCHER-DANIELS-MIDLAND CO,5,"Se dedica a la originación y procesamiento agrícola a nivel mundial, transformando cultivos crudos en una amplia gama de ingredientes esenciales para la industria de alimentos y bebidas.",,4165,USD,ADM,SMART,STK,True,
industrial,food_processing,US8718291078,SYSCO CORP,6,Facilita el alcance de mercado y la distribución de una amplia gama de productos alimenticios procesados de diversos fabricantes a una extensa red de operaciones de servicios de alimentos.,,12581,USD,SYY,SMART,STK,True,
industrial,food_processing,CH1300646267,BUNGE GLOBAL SA,7,Desempeña un papel fundamental en la industria global de procesamiento de alimentos al transformar productos agrícolas en una amplia gama de ingredientes y productos alimenticios.,"La empresa demuestra una fuerte conexión con el tema de Procesamiento de Alimentos a través de sus segmentos de Agribusiness y Molienda, que participan activamente en la transformación industrial de materias primas en alimentos envasados, utilizando métodos como saneamiento, cocción, conservación y envasado. El segmento de Agribusiness compra, almacena, transporta, procesa y vende productos agrícolas y derivados. Además, el costo de los bienes vendidos de la empresa incluye costos asociados con estas actividades de procesamiento, enfatizando la inversión significativa en estos procesos.",663174498,USD,BG,SMART,STK,True,"[{'name': 'bg-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/bg-FY24-10-K.html'}]"
industrial,food_processing,FR0000120644,DANONE,8,"Procesa materias primas en una cartera diversa de productos lácteos, de origen vegetal y agua embotellada para el consumo mundial.",,6579874,CHF,DAN,SMART,STK,False,
industrial,food_processing,US4595061015,INTL FLAVORS & FRAGRANCES,9,"Proporciona sabores, ingredientes y soluciones esenciales que son críticos para el desarrollo, la mejora y el procesamiento de una amplia gama de productos de alimentos y bebidas.","El compromiso de IFF con el tema de procesamiento de alimentos es evidente a través de su papel como creador y fabricante líder de productos para las industrias de alimentos y bebidas. Los productos de la compañía, incluidos los ingredientes naturales para la salud, se venden a fabricantes de diversos productos alimenticios como lácteos, carne, bebidas, bocadillos y productos horneados. El segmento Nourish de IFF proporciona ingredientes que mejoran el valor nutricional, la textura y la funcionalidad en una variedad de aplicaciones, mientras que el segmento Food Ingredients ofrece soluciones de texturización y protección de alimentos, lo que indica una participación significativa en el suministro de ingredientes y soluciones a los fabricantes de alimentos.",8385,USD,IFF,SMART,STK,True,"[{'name': 'iff-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q324-10-Q.html'}, {'name': 'iff-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q225-10-Q.html'}, {'name': 'iff-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/iff-Q125-10-Q.html'}]"
industrial,food_processing,US5007541064,KRAFT HEINZ CO/THE,10,"Participó ampliamente en el procesamiento de una amplia gama de productos alimenticios, contribuyendo significativamente a la industria de alimentos envasados a través de su diversa cartera de marcas.",,199169586,USD,KHC,SMART,STK,True,
industrial,food_processing,US6092071058,MONDELEZ INTERNATIONAL INC-A,11,"Implica el desarrollo, la fabricación y la distribución mundial de una amplia gama de aperitivos y bebidas, abarcando diversas etapas del procesamiento de alimentos, desde la transformación de materias primas hasta el envasado del producto final.",,113599091,USD,MDLZ,SMART,STK,True,
industrial,food_processing,US3703341046,GENERAL MILLS INC,12,"Fabrica y comercializa una diversa cartera de productos alimenticios de consumo de marca, contribuyendo significativamente al suministro global de alimentos procesados en diversas categorías.",,7616,USD,GIS,SMART,STK,True,
industrial,food_processing,GB00BP92CJ43,TATE & LYLE PLC,13,Desarrolla y suministra una amplia gama de ingredientes y soluciones esenciales para la industria de procesamiento de alimentos y bebidas.,,559436965,GBP,TATE,SMART,STK,False,
industrial,food_processing,US5797802064,MCCORMICK & CO-NON VTG SHRS,14,"Suministra una cartera integral de especias, condimentos y soluciones de sabor esenciales para los fabricantes de alimentos, contribuyendo significativamente al desarrollo y la mejora de los productos alimenticios procesados a nivel mundial.","El compromiso de McCormick con el tema de la industria de procesamiento de alimentos es evidente a través de la fabricación, comercialización y distribución de especias, mezclas de condimentos, condimentos y otros productos sabrosos para toda la industria de alimentos y bebidas. Las operaciones de la empresa atienden a minoristas, fabricantes de alimentos y negocios de servicios de alimentos, lo que destaca la centralidad del procesamiento de alimentos en su negocio. Además, las actividades de McCormick implican la transformación industrial de materias primas en alimentos envasados, lo que solidifica su papel en el procesamiento de alimentos.",271556,USD,MKC,SMART,STK,True,"[{'name': 'mkc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/mkc-Q324-10-Q.html'}, {'name': 'mkc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/mkc-FY24-10-K.html'}]"
industrial,food_processing,US72147K1088,PILGRIM'S PRIDE CORP,15,"Opera como un importante productor y comercializador de productos de pollo de alta calidad y valor agregado, contribuyendo significativamente a la industria de procesamiento de alimentos a través de sus extensas operaciones y cadena de suministro.","Pilgrim's Pride Corporation está fuertemente involucrada en la industria del procesamiento de alimentos, principalmente a través de sus operaciones de producción de pollo. Como uno de los mayores productores de pollo a nivel mundial, las operaciones de la empresa abarcan el procesamiento de productos de pollo para su venta en diversos mercados. Pilgrim's Pride mantiene una estructura verticalmente integrada, controlando casi todas las fases del proceso de producción, lo que les permite gestionar la seguridad y calidad de los alimentos, controlar los márgenes y mejorar el servicio al cliente. La empresa también está expandiendo su capacidad en Alimentos Frescos y Preparados, con inversiones en la expansión de capacidad para Frescos en Veracruz y Mérida, así como la construcción de una nueva planta de alimentos preparados en Walker County, Georgia.",71395583,USD,PPC,SMART,STK,True,"[{'name': 'ppc-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ppc-Q324-10-Q.html'}, {'name': 'ppc-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ppc-Q225-10-Q.html'}, {'name': 'ppc-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ppc-FY24-10-K.html'}]"
industrial,food_processing,US4571871023,INGREDION INC,16,"Proporciona una cartera integral de ingredientes y soluciones esenciales para diversas aplicaciones dentro de la industria de procesamiento de alimentos, apoyando el desarrollo y la fabricación de productos en mercados globales.","El negocio de Ingredion gira en torno a la transformación de granos, frutas, verduras y otros materiales de origen vegetal en soluciones de ingredientes de valor agregado, con un enfoque significativo en el mercado alimentario. Como proveedor líder mundial de soluciones de ingredientes, la compañía asigna recursos a la transformación de materias primas en soluciones especializadas para la industria alimentaria, así como para los sectores de bebidas, nutrición animal, cervecería e industrial. Si bien la transformación de materiales de origen vegetal en soluciones de ingredientes para el mercado alimentario sugiere una participación en el procesamiento de alimentos, la empresa no especifica métodos únicos o procesos patentados.",107051249,USD,INGR,SMART,STK,True,"[{'name': 'ingr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/ingr-Q324-10-Q.html'}, {'name': 'ingr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ingr-FY24-10-K.html'}]"
industrial,food_processing,US2058871029,CONAGRA BRANDS INC,17,"Fabrica y distribuye una cartera diversa de productos alimenticios, que abarca varias etapas de procesamiento desde ingredientes crudos hasta productos terminados.","La empresa transforma ingredientes crudos en alimentos envasados a través de sus diversos segmentos, que incluyen Grocery & Snacks, Refrigerated & Frozen, International y Foodservice. Dentro del segmento Refrigerated & Frozen, los desafíos de fabricación en una instalación principal que prepara y cocina pollo han impactado los costos, mientras que el segmento Foodservice se enfoca en productos alimenticios de marca y personalizados como comidas, platos principales, salsas y productos culinarios fabricados a medida envasados para restaurantes y establecimientos de servicio de alimentos. La empresa utiliza métodos de saneamiento, cocción, conservación y envasado para garantizar la seguridad y extender la vida útil en sus operaciones de procesamiento de alimentos.",5402,USD,CAG,SMART,STK,True,
