symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
PLD,RE,IND,real estate,industrial_real_estate,US74340W1036,PROLOGIS INC,1,"Sirve como propietario, operador y desarrollador líder de bienes raíces logísticos, proporcionando infraestructura esencial para cadenas de suministro globales y distribución de comercio electrónico.","El negocio de Prologis se centra en el sector inmobiliario industrial, como lo demuestra el arrendamiento y desarrollo de almacenes con un enfoque en propiedades logísticas bien ubicadas, que consideran un activo estratégico. Sus llamadas de resultados cubren extensamente el sector inmobiliario industrial, incluyendo las condiciones del mercado, las actividades de arrendamiento y los planes de desarrollo. Además, la empresa está aumentando los inicios de desarrollo, con inversiones que van desde los 2.250 millones de dólares hasta los 2.750 millones de dólares, junto con proyectos de construcción a medida y aprovechando su importante cartera de terrenos.",88819288,USD,SMART,STK,
GMG,RE,IND,real estate,industrial_real_estate,AU000000GMG2,GOODMAN GROUP,2,"Se especializa en la propiedad, desarrollo y gestión de bienes raíces industriales, incluidas instalaciones logísticas y parques empresariales, para apoyar las cadenas de suministro globales y el comercio electrónico.",,45079010,AUD,SMART,STK,
FR,RE,IND,real estate,industrial_real_estate,US32054K1034,FIRST INDUSTRIAL REALTY TR,3,"Opera como un importante propietario y desarrollador de bienes raíces industriales de alta calidad, proporcionando instalaciones esenciales de logística y distribución para empresas.","El negocio de First Industrial Realty Trust está significativamente ligado al tema de bienes raíces industriales, como lo demuestra sus operaciones principales que involucran la propiedad, gestión, adquisición, venta, desarrollo y redesarrollo de propiedades industriales. Su cartera incluye un número sustancial de propiedades industriales en varios estados, con millones de pies cuadrados de área bruta arrendable. El enfoque de la empresa se demuestra aún más a través de su inversión activa en nuevos desarrollos y adquisiciones, incluyendo importantes gastos de capital en proyectos de construcción y adquisiciones estratégicas de terrenos en mercados logísticos clave. Además, las llamadas de ganancias y los informes de la empresa discuten extensamente su desempeño, actividades de arrendamiento y condiciones del mercado dentro del sector de bienes raíces industriales, subrayando el papel central del tema en su estrategia comercial y resultados financieros.",7330,USD,SMART,STK,"[{'name': 'fr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/fr-FY24-10-K.html'}, {'name': 'fr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fr-Q125-10-Q.html'}, {'name': 'fr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fr-Q225-10-Q.html'}, {'name': 'fr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/fr-Q324-10-Q.html'}]"
SGRO,RE,IND,real estate,industrial_real_estate,GB00B5ZN1N88,SEGRO PLC,4,"Se especializa en el desarrollo y gestión de bienes raíces industriales, proporcionando infraestructura esencial para la logística y la distribución urbana.",,64769359,GBP,SMART,STK,
STAG,RE,IND,real estate,industrial_real_estate,US85254J1025,STAG INDUSTRIAL INC,5,"Se centra en la adquisición y operación de propiedades industriales, contribuyendo al desarrollo y la gestión del sector inmobiliario industrial.","El negocio de STAG Industrial se centra en el sector inmobiliario industrial, como lo demuestra su enfoque en la adquisición, propiedad, desarrollo y operación de propiedades industriales en todo Estados Unidos. Este énfasis se destaca en sus llamadas de resultados y presentaciones de información complementaria, que detallan su cartera de propiedades industriales, adquisiciones, desinversiones y actividades de desarrollo. Las actividades de la empresa incluyen la adquisición de edificios y carteras, actividades de desarrollo y el arrendamiento de espacios de almacén y distribución, lo que demuestra la centralidad de este sector para sus operaciones e ingresos.",86792819,USD,SMART,STK,"[{'name': 'stag-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stag-Q324-10-Q.html'}, {'name': 'stag-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stag-Q225-10-Q.html'}, {'name': 'stag-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/stag-FY24-10-K.html'}, {'name': 'stag-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/stag-Q125-10-Q.html'}]"
CSGP,RE,IND,real estate,industrial_real_estate,US22160N1090,COSTAR GROUP INC,6,"Proporciona datos completos, análisis y mercados en línea esenciales para profesionales que operan dentro del sector inmobiliario industrial.",,6726677,USD,SMART,STK,
M44U,RE,IND,real estate,industrial_real_estate,SG1S03926213,MAPLETREE LOGISTICS TRUST,7,"Opera como un importante propietario y gestor de propiedades logísticas e industriales, proporcionando infraestructura crítica que sustenta el mercado inmobiliario industrial en general.",,117901223,SGD,SGX,STK,
REXR,RE,IND,real estate,industrial_real_estate,US76169C1009,REXFORD INDUSTRIAL REALTY IN,8,"Se especializa en la propiedad y operación de propiedades industriales, contribuyendo al crecimiento y desarrollo del sector.","El negocio de Rexford Industrial Realty se centra en el sector inmobiliario industrial, ya que la empresa es un REIT centrado en poseer y operar propiedades industriales, particularmente en mercados de relleno del sur de California. Este enfoque es evidente en su adquisición, propiedad, mejora, reposicionamiento, remodelación, arrendamiento y gestión de bienes raíces industriales. La estrategia de la empresa tiene como objetivo capitalizar las oportunidades dentro de estos mercados, enfatizando ubicaciones con funcionalidad superior y beneficiándose de las limitaciones de suministro, así como de altas barreras que limitan la nueva construcción.",131219465,USD,SMART,STK,"[{'name': 'rexr-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rexr-Q324-10-Q.html'}, {'name': 'rexr-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rexr-Q125-10-Q.html'}, {'name': 'rexr-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/rexr-FY24-10-K.html'}, {'name': 'rexr-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/rexr-Q225-10-Q.html'}]"
UHAL,RE,IND,real estate,industrial_real_estate,US0235861004,U-HAUL HOLDING CO,9,"Gestiona una amplia cartera de instalaciones de autoalmacenamiento, un componente importante del mercado inmobiliario industrial.",,14487733,USD,SMART,STK,
CBRE,RE,IND,real estate,industrial_real_estate,US12504L1098,CBRE GROUP INC - A,10,"Proporciona un conjunto integral de servicios que incluyen corretaje, administración de propiedades y asesoramiento para propiedades industriales, facilitando transacciones y optimizando el rendimiento de los activos dentro del sector.","El compromiso de CBRE con el sector inmobiliario industrial es evidente en sus informes financieros, que indican un crecimiento en el sector. Los ingresos globales de ventas de propiedades de la empresa aumentaron, impulsados por un aumento significativo en las ventas y arrendamientos de activos industriales en EE. UU., particularmente debido a la demanda de empresas de logística de terceros. Además, hubo un aumento notable en el arrendamiento industrial, mientras que se observó fortaleza en Europa Continental. La mención de un 'Almacén Internacional' también sugiere cierta participación en el sector inmobiliario industrial.",95514904,USD,SMART,STK,"[{'name': 'cbre-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/cbre-FY24-10-K.html'}]"
