symbol,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,navigable,evidenceSources,theme_id
ROG,health,personalized_medicine,CH0012032048,ROCHE HOLDING AG-GENUSSCHEIN,1,"Avanza en la medicina personalizada mediante el desarrollo de terapias dirigidas y herramientas de diagnóstico que consideran las características individuales del paciente, optimizando la eficacia del tratamiento y los resultados del paciente.",,228954,CHF,SMART,STK,False,,PER
ILMN,health,personalized_medicine,US4523271090,ILLUMINA INC,2,"Proporciona tecnologías de secuenciación genómica y de matrices de vanguardia que son fundamentales para avanzar en la medicina personalizada, permitiendo un diagnóstico preciso de enfermedades, terapias dirigidas y estrategias de tratamiento individualizadas.","La participación de Illumina en la Medicina Personalizada es evidente en su enfoque en el avance de la investigación de enfermedades, el desarrollo de fármacos y la creación de pruebas de diagnóstico molecular. Las herramientas de la empresa potencian el análisis genético y facilitan una comprensión más profunda de la variación genética, lo que cree que desencadenará un cambio fundamental en la atención médica hacia la medicina molecular preventiva y predictiva. El apoyo de Illumina a los avances clínicos en medicina de precisión se demuestra aún más a través de su rápida innovación, que está cambiando la economía de la investigación genética y permitiendo proyectos que antes eran imposibles.",9869443,USD,SMART,STK,True,"[{'name': 'ilmn-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/ilmn-FY24-10-K.html'}]",PER
TMO,health,personalized_medicine,US8835561023,THERMO FISHER SCIENTIFIC INC,3,"Apoya el avance de la medicina personalizada a través de la provisión de herramientas de diagnóstico, tecnologías de secuenciación genética y soluciones de investigación que permiten diagnósticos de precisión y terapias dirigidas.","Thermo Fisher está significativamente involucrada en la medicina personalizada a través del desarrollo e introducción de instrumentos analíticos avanzados y kits de proteómica. Los espectrómetros de masas Thermo Scientific Orbitrap de próxima generación de la empresa están diseñados para permitir a los investigadores avanzar aún más en la medicina de precisión e impulsar información significativa para el desarrollo de nuevas terapias para enfermedades complejas. Además, Thermo Fisher introdujo los kits de proteómica Olink Reveal, que facilitan la identificación de proteínas relacionadas con la inflamación y la respuesta inmune, contribuyendo directamente a los avances en la medicina de precisión.",12869,USD,SMART,STK,True,,PER
NOVN,health,personalized_medicine,CH0012005267,NOVARTIS AG-REG,4,"Desarrolla y comercializa terapias adaptadas a perfiles de pacientes individuales, aprovechando diagnósticos y biomarcadores avanzados para ofrecer tratamientos dirigidos en diversas áreas de enfermedades.",,1615110,CHF,SMART,STK,False,,PER
GH,health,personalized_medicine,US40131M1099,GUARDANT HEALTH INC,5,"Se enfoca en avanzar en la oncología de precisión a través de tecnologías de biopsia líquida que permiten la atención personalizada del cáncer, desde la detección temprana hasta el monitoreo del tratamiento.","Guardant Health está profundamente involucrada en la medicina personalizada, centrándose en proporcionar información sobre los impulsores de enfermedades a través de pruebas avanzadas de sangre y tejido, y datos del mundo real para mejorar los resultados de los pacientes en todas las etapas de la atención del cáncer. Esto se logra a través de pruebas como Guardant360 CDx, que informa las decisiones de tratamiento basadas en perfiles tumorales individuales, y la plataforma GuardantINFORM, utilizada para desarrollar medicamentos dirigidos a biomarcadores específicos. La compañía también está impulsando el desarrollo de aplicaciones clínicas, incluidas nuevas aplicaciones que proporcionan una visión de mayor resolución de la biología tumoral, lo que permite a los proveedores de atención médica tomar decisiones de tratamiento más inteligentes y personalizadas, incluso cuando no hay tejido disponible para el análisis, y desarrollando perfiles farmacogenómicos para identificar variaciones genéticas que impactan la seguridad y eficacia de las terapias contra el cáncer.",335906876,USD,SMART,STK,False,"[{'name': 'gh-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/gh-Q225-10-Q.html'}]",PER
DHR,health,personalized_medicine,US2358511028,DANAHER CORP,6,"Proporciona herramientas, consumibles y diagnósticos críticos que permiten la investigación, el desarrollo y la aplicación de la medicina personalizada, incluida la secuenciación genética y la identificación de biomarcadores.","El compromiso de Danaher con la medicina personalizada es evidente a través de sus asociaciones estratégicas y el desarrollo de herramientas y terapias de diagnóstico avanzadas. La compañía está colaborando con AstraZeneca para crear herramientas de diagnóstico que ayuden a los médicos a identificar a los pacientes que más se beneficiarían de los tratamientos de medicina de precisión. Además, IDT y Aldevron, ambas bajo el paraguas de Danaher, contribuyen al avance de la medicina personalizada al ayudar a desarrollar la primera terapia CRISPR in vivo personalizada basada en ARNm bajo demanda, lo que marca un hito importante para las terapias basadas en CRISPR in vivo.",6442,USD,SMART,STK,True,,PER
TEM,health,personalized_medicine,US88023B1035,TEMPUS AI INC,7,"Se enfoca en aprovechar la inteligencia artificial y el análisis de datos a gran escala para proporcionar información para tratamientos médicos personalizados y atención al paciente, impulsando así la medicina personalizada.","Tempus AI se dedica a personalizar la medicina a través de la integración de la experiencia en salud y la tecnología, esforzándose por crear diagnósticos inteligentes que aprovechen la IA y los datos específicos del paciente para mejorar la precisión y la personalización de las pruebas de laboratorio. Su enfoque implica la construcción de modelos fundacionales para comprender las respuestas de los pacientes a los tratamientos contra el cáncer a nivel molecular, con el objetivo de diseñar diagnósticos personalizados y garantizar vías terapéuticas óptimas. Al combinar la experiencia en salud con capacidades tecnológicas, Tempus tiene como objetivo desbloquear el verdadero poder de la medicina de precisión y generar información más temprano en el proceso de diagnóstico.",709237125,USD,SMART,STK,False,"[{'name': 'tem-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/tem-FY24-10-K.html'}, {'name': 'tem-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tem-Q225-10-Q.html'}, {'name': 'tem-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/tem-Q125-10-Q.html'}]",PER
VRTX,health,personalized_medicine,US92532F1003,VERTEX PHARMACEUTICALS INC,8,"Desarrolla terapias dirigidas centrándose en las causas subyacentes de las enfermedades, utilizando información genética y molecular para proporcionar tratamientos personalizados para poblaciones específicas de pacientes.",,275850,USD,SMART,STK,True,,PER
GILD,health,personalized_medicine,US3755581036,GILEAD SCIENCES INC,9,"Se dedica a la investigación, desarrollo y comercialización de terapias dirigidas que abordan poblaciones de pacientes y características de enfermedades específicas, contribuyendo a los avances en tratamientos médicos personalizados.",,269753,USD,SMART,STK,True,,PER
EXAS,health,personalized_medicine,US30063P1057,EXACT SCIENCES CORP,10,"Desarrolla pruebas de diagnóstico que proporcionan información individualizada sobre enfermedades, permitiendo tratamientos médicos personalizados y estrategias preventivas basadas en las características únicas de un paciente.","Exact Sciences está significativamente involucrada en la medicina personalizada a través de su cartera de oncología de precisión, que ofrece información genómica procesable para informar el pronóstico y el tratamiento del cáncer. La empresa facilita la medicina personalizada aplicando evidencia del mundo real y recomendaciones de directrices, lo que permite a los pacientes desempeñar un papel más activo en su atención contra el cáncer. Para avanzar en este enfoque, Exact Sciences lanzó Oncodetect, una prueba de enfermedad molecular residual, para guiar el viaje de un paciente con cáncer e integrarla en su cartera de Oncología de Precisión liderada por Oncotype DX.",11468575,USD,SMART,STK,False,"[{'name': 'exas-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/exas-Q225-10-Q.html'}]",PER
