symbol,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
DOW,IN8,industrial,industrial_chemicals,US2605571031,DOW INC,1,Opera como un desarrollador y proveedor principal dentro del sector de productos químicos industriales.,,356576040,USD,SMART,STK,
LIN,IN8,industrial,industrial_chemicals,IE000S9YS762,LINDE PLC,2,Suministra gases industriales críticos y tecnologías relacionadas esenciales para la producción y el procesamiento dentro del sector de productos químicos industriales.,"El compromiso de Linde con el tema de Químicos Industriales es evidente a través de su negocio de gases industriales, que produce gases atmosféricos y de proceso esenciales para la industria. Las ventas de la compañía en el segmento de América han aumentado debido a mayores volúmenes en los mercados finales de químicos y energía, incluyendo el inicio de proyectos. Si bien los químicos experimentaron un crecimiento interanual en volumen en América, la compañía anticipa un desempeño más débil en este sector durante el resto del año, particularmente en Europa y China. Además, Linde participa en proyectos como la iniciativa Blue Point, centrada en la producción de amoníaco bajo en carbono.",617155599,USD,SMART,STK,"[{'name': 'lin-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lin-Q225-10-Q.html'}, {'name': 'lin-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lin-Q324-10-Q.html'}, {'name': 'lin-FY24-10-K', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-k/lin-FY24-10-K.html'}]"
DD,IN8,industrial,industrial_chemicals,US26614N1028,DUPONT DE NEMOURS INC,3,Fabrica y suministra una amplia gama de productos químicos industriales que sirven como componentes fundamentales para numerosos procesos de fabricación y productos finales en diversos sectores.,,365921621,USD,SMART,STK,
XOM,IN8,industrial,industrial_chemicals,US30231G1022,EXXON MOBIL CORP,4,"Produce una cartera diversa de petroquímicos básicos, polímeros y productos especiales que sirven como bloques de construcción fundamentales para diversos sectores industriales en todo el mundo.","La participación de ExxonMobil en el tema de Productos Químicos Industriales es evidente a través de varias iniciativas estratégicas. La compañía está aumentando activamente sus operaciones en su Complejo Químico de China, que abastece al creciente mercado chino con productos químicos de alto valor orientados al consumidor utilizados en electrodomésticos, productos de higiene y envases seguros para alimentos. Demostrando aún más este enfoque, ExxonMobil está iniciando su proyecto de Mejora de Residuos en Singapur, implementando tecnología para convertir moléculas de bajo valor en productos de alto valor. Estos 'proyectos ventajosos' contribuyen al segmento Químico, impulsando la integración, aumentando los rendimientos y generando mayores retornos, aunque los márgenes químicos se han visto afectados por el exceso de oferta en Asia y los mayores costos de materia prima en América del Norte.",13977,USD,SMART,STK,"[{'name': 'xom-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q125-10-Q.html'}, {'name': 'xom-Q324-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/xom-Q324-10-Q.html'}]"
SHW,IN8,industrial,industrial_chemicals,US8243481061,SHERWIN-WILLIAMS CO/THE,5,"Fabrica y suministra una amplia gama de pinturas, recubrimientos y productos químicos relacionados para aplicaciones industriales, comerciales y residenciales.",,12120,USD,SMART,STK,
WAT,IN8,industrial,industrial_chemicals,US9418481035,WATERS CORP,6,"Proporciona instrumentación analítica avanzada y soluciones esenciales para la investigación, el desarrollo, el control de calidad y la optimización de procesos dentro del sector de productos químicos industriales.",,1448494,USD,SMART,STK,
YAR,IN8,industrial,industrial_chemicals,NO0010208051,YARA INTERNATIONAL ASA,7,"Fabrica una amplia gama de productos químicos industriales, principalmente compuestos a base de nitrógeno y fertilizantes, esenciales para la productividad agrícola y diversas aplicaciones industriales.",,28069521,NOK,SMART,STK,
LYB,IN8,industrial,industrial_chemicals,NL0009434992,LYONDELLBASELL INDU-CL A,8,"Se dedica a la producción y comercialización de una amplia gama de productos químicos industriales, incluyendo olefinas, poliolefinas y productos refinados, sirviendo a diversas industrias globales.","El negocio de LyondellBasell está significativamente ligado al sector de productos químicos industriales a través de su producción y venta de una variedad de productos químicos industriales, incluidos olefinas, poliolefinas e intermedios, manejados en sus segmentos O&P-Americas, O&P-EAI e I&D. El segmento I&D de la empresa juega un papel crucial, con su desempeño influenciado directamente por los márgenes de productos químicos intermedios, que a su vez se ven afectados por factores como los costos del benceno y las interrupciones de la industria. Esto se evidencia aún más en la producción de productos químicos específicos como el óxido de etileno y el óxido de propileno, junto con la venta de su negocio de Óxido de Etileno y Derivados (EO&D).",74866700,USD,SMART,STK,"[{'name': 'lyb-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/lyb-Q225-10-Q.html'}]"
PPG,IN8,industrial,industrial_chemicals,US6935061076,PPG INDUSTRIES INC,9,"Desarrolla y fabrica una amplia gama de pinturas, recubrimientos y materiales especiales, basándose fundamentalmente y contribuyendo al sector de productos químicos industriales como componente central de sus operaciones.",,11295,USD,SMART,STK,
APD,IN8,industrial,industrial_chemicals,US0091581068,AIR PRODUCTS & CHEMICALS INC,10,Proporciona una amplia cartera de gases industriales y productos químicos de rendimiento que son insumos esenciales para los procesos de fabricación en diversas industrias.,,4487,USD,SMART,STK,
