symbol,industry_id,theme_id,industry,theme,isin_code,name,rank,description,evidence,ib_conid,currency,exchange,assetType,evidenceSources
JPM,FI,RET,financials,innovation_in_retail_banking,US46625H1005,JPMORGAN CHASE & CO,1,"Desempeña un papel de liderazgo en el impulso de avances y el establecimiento de estándares de la industria dentro del tema de Innovación en Banca Minorista, introduciendo consistentemente nuevas tecnologías y servicios para mejorar la experiencia del cliente y la eficiencia operativa.",,1520593,USD,SMART,STK,
BAC,FI,RET,financials,innovation_in_retail_banking,US0605051046,BANK OF AMERICA CORP,2,Desarrolla e implementa plataformas digitales avanzadas y servicios personalizados para mejorar la experiencia del cliente e impulsar la eficiencia en sus operaciones de banca minorista.,,10098,USD,SMART,STK,
FIS,FI,RET,financials,innovation_in_retail_banking,US31620M1062,FIDELITY NATIONAL INFO SERV,3,"Impulsa la innovación en la banca minorista a través de la provisión de soluciones y plataformas tecnológicas críticas, permitiendo a las instituciones financieras modernizar las operaciones y mejorar las experiencias de los clientes.",,37866641,USD,SMART,STK,
PYPL,FI,RET,financials,innovation_in_retail_banking,US70450Y1038,PAYPAL HOLDINGS INC,4,"Impulsa la innovación en la banca minorista al proporcionar soluciones de pago digital y tecnología financiera que agilizan las transacciones, mejoran la experiencia del usuario y amplían el acceso a los servicios financieros a nivel mundial.",,199169591,USD,SMART,STK,
WFC,FI,RET,financials,innovation_in_retail_banking,US9497461015,WELLS FARGO & CO,5,"Impulsa avances en servicios de banca digital y experiencia del cliente a través de la integración tecnológica e iniciativas estratégicas, dando forma al futuro de las soluciones financieras minoristas.",,10375,USD,SMART,STK,
HSBA,FI,RET,financials,innovation_in_retail_banking,GB0005405286,HSBC HOLDINGS PLC,6,Impulsa la adopción de nuevas tecnologías y soluciones digitales para mejorar la experiencia del cliente y optimizar las operaciones en el sector de la banca minorista.,,909083,GBP,SMART,STK,
BARC,FI,RET,financials,innovation_in_retail_banking,GB0031348658,BARCLAYS PLC,7,Se clasifica entre las principales empresas que influyen en la Innovación en Banca Minorista.,,908940,GBP,SMART,STK,
COF,FI,RET,financials,innovation_in_retail_banking,US14040H1059,CAPITAL ONE FINANCIAL CORP,8,Impulsa avances en la banca minorista a través de la transformación digital continua y el desarrollo de soluciones innovadoras centradas en el cliente para mejorar la experiencia del usuario y la eficiencia operativa.,,5941,USD,SMART,STK,
SAN,FI,RET,financials,innovation_in_retail_banking,ES0113900J37,BANCO SANTANDER SA,9,Impulsa avances en la banca minorista a través del desarrollo e implementación de servicios y tecnologías innovadoras.,,30314144,EUR,SMART,STK,
C,FI,RET,financials,innovation_in_retail_banking,US1729674242,CITIGROUP INC,10,Impulsa avances en la banca minorista a través del desarrollo de plataformas digitales y soluciones tecnológicas centradas en el cliente que remodelan las interacciones y la prestación de servicios a los clientes.,"El enfoque de Citi en la Innovación en Banca Minorista es evidente a través de varias iniciativas dentro de su división USPB, donde se están enfocando activamente en la innovación de productos, capacidades digitales y experiencia del cliente. Esto incluye la introducción de la tarjeta de crédito premium Citi Strata Elite e inversiones en su cartera de tarjetas para mejorar el valor para los titulares de tarjetas. Citi también está modernizando las operaciones al expandir la adopción de herramientas de IA Generativa para aumentar la eficiencia y la productividad, incluido el lanzamiento de Agent Assist, su primera herramienta de servicio al cliente de IA Generativa de USPB. Además, Citi Token Services ahora está activo en cuatro mercados importantes, procesando miles de millones en transacciones, y la empresa está simplificando y automatizando procesos para competir en un entorno digital dinámico como parte de sus esfuerzos de transformación más amplios.",87335484,USD,SMART,STK,"[{'name': 'c-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/c-Q125-10-Q.html'}]"
