type,link_type,key,name,rank,description,evidence,conid,currency,symbol,exchange,assetType,navigable,evidenceSources,theme_id
energy and utilities,compliance_with_energy_policies,US30231G1022,EXXON MOBIL CORP,1,Participa activamente en políticas energéticas globales y marcos regulatorios para garantizar el cumplimiento operativo y el desarrollo estratégico.,,13977,USD,XOM,SMART,STK,True,,CL2
energy and utilities,compliance_with_energy_policies,FR0000120271,TOTALENERGIES SE,2,"Gestiona activamente sus operaciones para cumplir con las regulaciones y políticas energéticas globales en evolución, garantizando el cumplimiento en su diversa cartera de actividades de producción y distribución de energía.",,29612193,EUR,TTE,SMART,STK,False,,CL2
energy and utilities,compliance_with_energy_policies,IT0003128367,ENEL SPA,3,"Se enfoca en adherirse e integrar políticas y regulaciones energéticas nacionales e internacionales en sus extensas operaciones, dando forma a su dirección estratégica y prácticas operativas.",,29816333,EUR,ENEL,SMART,STK,False,,CL2
energy and utilities,compliance_with_energy_policies,US3453708600,FORD MOTOR CO,4,"Impulsa sus estrategias de desarrollo y fabricación de productos para cumplir con las estrictas políticas y regulaciones energéticas mundiales, especialmente aquellas relacionadas con las emisiones de los vehículos y las normas de eficiencia de combustible.","El enfoque de Ford para el cumplimiento de la política energética implica varias estrategias, incluida la compra de créditos de cumplimiento normativo, con obligaciones de compra futuras bajo estos acuerdos que suman aproximadamente $2.8 mil millones al 30 de junio de 2025. La estrategia de la empresa para cumplir con los estándares regulatorios está influenciada por el ritmo de adopción de vehículos eléctricos y el desarrollo del mercado de vehículos eléctricos, y puede ser difícil para Ford cumplir con los estándares ambientales aplicables si los consumidores no compran sus vehículos eléctricos y otros vehículos de alta eficiencia de combustible en cantidades suficientes. Los cambios en las políticas, como la eliminación gradual de ciertos incentivos del lado de la demanda para la compra de vehículos eléctricos en los Estados Unidos, también impactan los esfuerzos de cumplimiento de Ford.",9599491,USD,F,SMART,STK,True,"[{'name': 'f-Q225-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/f-Q225-10-Q.html'}]",CL2
energy and utilities,compliance_with_energy_policies,US1667641005,CHEVRON CORP,5,"Implica la navegación activa y la influencia en los marcos regulatorios y los desarrollos de políticas que afectan la producción mundial de energía, los estándares ambientales y los objetivos climáticos.",,5684,USD,CVX,SMART,STK,True,,CL2
energy and utilities,compliance_with_energy_policies,US65339F1012,NEXTERA ENERGY INC,6,"Requiere una estricta adhesión a un marco dinámico de políticas y regulaciones energéticas, que moldea críticamente sus estrategias operativas y expansión dentro de los sectores de servicios públicos y energía renovable.","El compromiso de NextEra Energy con el cumplimiento de la política energética es evidente en su necesidad de navegar por un complejo panorama regulatorio, como señaló John Ketchum. Esto incluye la gestión de órdenes ejecutivas, reglamentaciones de agencias, aranceles y acciones comerciales. La empresa destaca la importancia de adaptarse a los cambios legislativos, como la Ley 'One Big Beautiful Bill Act', que elimina gradualmente los créditos fiscales para la energía eólica y solar, al tiempo que proporciona una mayor flexibilidad para la energía nuclear y el almacenamiento.",75960201,USD,NEE,SMART,STK,True,,CL2
energy and utilities,compliance_with_energy_policies,ES0144580Y14,IBERDROLA SA.,7,"Opera dentro de un sector energético global altamente regulado, lo que requiere una adhesión continua a las políticas energéticas y marcos regulatorios en evolución en su diversa cartera de activos de generación, transmisión y distribución.",,46586284,EUR,IBE,SMART,STK,False,,CL2
energy and utilities,compliance_with_energy_policies,US0556221044,BP PLC-SPONS ADR,8,"Navega y se adhiere a un panorama regulatorio global complejo y en evolución en materia de producción de energía, estándares ambientales y políticas de cambio climático, lo que impacta sus estrategias operativas y decisiones de inversión.",,5171,USD,BP,SMART,STK,False,,CL2
energy and utilities,compliance_with_energy_policies,US26441C2044,DUKE ENERGY CORP,9,"Garantiza el cumplimiento de un marco regulatorio complejo y en evolución que rige la producción, distribución y estándares ambientales de energía dentro del sector de servicios públicos.",,110176011,USD,DUK,SMART,STK,True,,CL2
energy and utilities,compliance_with_energy_policies,US91913Y1001,VALERO ENERGY CORP,10,Requiere una adhesión continua y estricta a un marco complejo y cambiante de políticas y regulaciones energéticas.,"Las operaciones de Valero están significativamente influenciadas por el cumplimiento de las políticas energéticas, como lo demuestra su adhesión a extensas regulaciones ambientales establecidas por las autoridades gubernamentales, que cubren una variedad de temas, incluyendo emisiones y gestión de residuos. El compromiso de la empresa con estas políticas se demuestra aún más mediante inversiones de capital asignadas al cumplimiento normativo, así como la participación activa en programas como el LCFS de California y el Estándar de Combustibles Renovables (RFS). Además, Valero anticipa tendencias en combustibles renovables y aborda asuntos ambientales, fiscales y regulatorios, incluyendo aquellos relacionados con programas de combustibles renovables y de bajo contenido de carbono.",13497,USD,VLO,SMART,STK,True,"[{'name': 'vlo-Q125-10-Q', 'url': 'https://storage.googleapis.com/reflexivity-documents-prod/edgar/filing/10-q/vlo-Q125-10-Q.html'}]",CL2
